Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Row Type,Units On Hand,Notes
tgs-chess-checkers,,,,,,,,,,,,,,,,,,,,output_pending/TGS-CHESS-CHECKERS/angle3.jpg,2,Chess / Checkers 2-in-1 Magnetic Travel Set with Foldable Board,,,,,active_unimaged,,
tgs-chess-checkers,,,,,,,,,,,,,,,,,,,,output_pending/TGS-CHESS-CHECKERS/angle4.jpg,3,Chess / Checkers 2-in-1 Magnetic Travel Set with Foldable Board,,,,,active_unimaged,,
tgs-chicks-icebreaker,Chicks Icebreaker Adventure - Break the Ice Balance Game,<p>A break-the-ice balance game with a chick theme. Players take turns tapping out ice blocks from a hexagonal platform without letting the chick figures fall. Includes a spinner and windmill-style ice pick tools. For ages 3 and up.</p><ul><li>Hexagonal ice-block platform with chick figures</li><li>Includes spinner wheel and ice-pick tools</li><li>Break-the-ice balance gameplay</li><li>For 2 or more players</li><li>For ages 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>1 hexagonal ice platform</li><li>Ice block pieces</li><li>2 chick figures</li><li>Ice-pick tools</li><li>Spinner wheel</li></ul>,The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-CHICKS-ICEBREAKER,,shopify,1,deny,manual,1400.00,,TRUE,TRUE,output_pending/TGS-CHICKS-ICEBREAKER/angle2.jpg,1,Chicks Icebreaker Adventure - Break the Ice Balance Game,FALSE,Chicks Icebreaker Adventure Game in Pakistan | Toy Gift Shop,Chicks Icebreaker Adventure balance game - break the ice without dropping the chicks. Ages 3+.,draft,active_unimaged,1,Priced & stocked; waiting on a generated CatalogHero/Lifestyle image.
tgs-chicks-icebreaker,,,,,,,,,,,,,,,,,,,,output_pending/TGS-CHICKS-ICEBREAKER/angle3.jpg,2,Chicks Icebreaker Adventure - Break the Ice Balance Game,,,,,active_unimaged,,
tgs-chicks-icebreaker,,,,,,,,,,,,,,,,,,,,output_pending/TGS-CHICKS-ICEBREAKER/angle4.jpg,3,Chicks Icebreaker Adventure - Break the Ice Balance Game,,,,,active_unimaged,,
tgs-card-puzzle,Children's Puzzle Game Card Machine,<p>This is a children&#x27;s puzzle game machine with a pink and blue toy-like design. It has a screen and buttons. It comes with a separate box of puzzle cards. The box indicates it is for ages 3+.</p><ul><li>Made of plastic</li><li>Pink and blue color scheme</li><li>Includes a screen and buttons</li><li>Includes a box of puzzle cards</li><li>Intended for children ages 3+</li></ul><p><strong>What's included:</strong></p><ul><li>Card Machine toy</li><li>Box of puzzle cards</li></ul>,The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-CARD-PUZZLE,,shopify,1,deny,manual,2250.00,,TRUE,TRUE,output_pending/TGS-CARD-PUZZLE/angle2.jpg,1,Children's Puzzle Game Card Machine,FALSE,Children Card Machine Puzzle Game in Pakistan | Toy Gift Shop,A children's puzzle game card machine with puzzle cards for ages 3+. Plastic toy with screen and buttons. Great for learning and play.,draft,active_unimaged,1,Priced & stocked; waiting on a generated CatalogHero/Lifestyle image.
tgs-card-puzzle,,,,,,,,,,,,,,,,,,,,output_pending/TGS-CARD-PUZZLE/angle3.jpg,2,Children's Puzzle Game Card Machine,,,,,active_unimaged,,
tgs-card-puzzle,,,,,,,,,,,,,,,,,,,,output_pending/TGS-CARD-PUZZLE/angle4.jpg,3,Children's Puzzle Game Card Machine,,,,,active_unimaged,,
tgs-cnuno,CNUNO Family Card Game,"<p>CNUNO is a UNO-style matching and action-card family card game. Match colours and numbers, play action cards, and be first to empty your hand. For ages 7 and up.</p><ul><li>UNO-style matching card game</li><li>Colour and number matching gameplay</li><li>Action cards for twists</li><li>For 2 to 10 players</li><li>For ages 7 and up</li></ul><p><strong>What's included:</strong></p><ul><li>1 deck of CNUNO cards</li><li>Instructions</li></ul>",The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-CNUNO,,shopify,3,deny,manual,480.00,,TRUE,TRUE,output_pending/TGS-CNUNO/angle2.jpg,1,CNUNO Family Card Game,FALSE,CNUNO Family Card Game in Pakistan | Toy Gift Shop,CNUNO family card game -- colour and number matching with action cards. Ages 7+.,draft,active_unimaged,3,Priced & stocked; waiting on a generated CatalogHero/Lifestyle image.
tgs-cnuno,,,,,,,,,,,,,,,,,,,,output_pending/TGS-CNUNO/angle3.jpg,2,CNUNO Family Card Game,,,,,active_unimaged,,
tgs-cnuno,,,,,,,,,,,,,,,,,,,,output_pending/TGS-CNUNO/front.jpg,3,CNUNO Family Card Game,,,,,active_unimaged,,
tgs-cube-squeeze-fidget,Cube Squeeze Ball - Super Solid Squish Toy,"<p>A soft, squishy cube toy that can be squeezed and compressed. It is made of a flexible, solid material. The toy is designed for sensory play and fidgeting. It comes in various colors including green glitter, pink, and orange swirl. It is for children aged 3 and up.</p><ul><li>Made of flexible solid material</li><li>Approximately 3 inches (7.6 cm) cube</li><li>Single piece, no moving parts</li><li>Includes one cube toy</li><li>Intended for children 3 years and older</li></ul><p><strong>What's included:</strong></p><ul><li>1 Cube Squeeze Ball</li></ul>",The Toy Gift Shop,,Sensory & Fidget Toys,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Squishies",FALSE,Title,Default Title,TGS-CUBE-SQUEEZE-FIDGET,,shopify,23,deny,manual,2250.00,,TRUE,TRUE,output_pending/TGS-CUBE-SQUEEZE-FIDGET/angle2.jpg,1,Cube Squeeze Ball - Super Solid Squish Toy,FALSE,Super Solid Squish Cube Squeeze Toy in Pakistan | Toy Gift Shop,"A soft, solid, squishy cube fidget toy for sensory play. Comes in green glitter, pink, and orange swirl. Ages 3+.",draft,active_unimaged,23,Priced & stocked; waiting on a generated CatalogHero/Lifestyle image.
tgs-cube-squeeze-fidget,,,,,,,,,,,,,,,,,,,,output_pending/TGS-CUBE-SQUEEZE-FIDGET/angle3.jpg,2,Cube Squeeze Ball - Super Solid Squish Toy,,,,,active_unimaged,,
tgs-cube-squeeze-fidget,,,,,,,,,,,,,,,,,,,,output_pending/TGS-CUBE-SQUEEZE-FIDGET/angle4.jpg,3,Cube Squeeze Ball - Super Solid Squish Toy,,,,,active_unimaged,,
tgs-diy-mag-levitatio,DIY Magnetic Levitation Train Track with 55 Pieces for Ages 3+,"<p>This DIY magnetic train track set includes 55 pieces that can be assembled to create a levitating train route. The train runs on magnetic rails and can be charged via a Type C cable. It is designed for children aged 3 and up. The set includes various track pieces, trees, and stop signs.</p><ul><li>Made of plastic</li><li>55 pieces included</li><li>Train runs on magnetic rails</li><li>Includes stop signs and trees</li><li>For ages 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>Train</li><li>Track pieces</li><li>Trees</li><li>Stop signs</li><li>Charging cable</li><li>Instructions</li></ul>",The Toy Gift Shop,,Novelty & Fun Toys,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Novelty Toys",FALSE,Title,Default Title,TGS-DIY-MAG-LEVITATIO,,shopify,1,deny,manual,4850.00,,TRUE,TRUE,output_pending/TGS-DIY-MAG-LEVITATIO/angle2.jpg,1,DIY Magnetic Levitation Train Track with 55 Pieces for Ages 3+,FALSE,Diy Magnetic Levitation Train Track in Pakistan | Toy Gift Shop,"DIY Magnetic Levitation Train Track with 55 pieces. Assemble your own magnetic train route. Ages 3+. Includes train, track, trees, and stop signs.",draft,active_unimaged,1,Priced & stocked; waiting on a generated CatalogHero/Lifestyle image.
tgs-diy-mag-levitatio,,,,,,,,,,,,,,,,,,,,output_pending/TGS-DIY-MAG-LEVITATIO/angle3.jpg,2,DIY Magnetic Levitation Train Track with 55 Pieces for Ages 3+,,,,,active_unimaged,,
tgs-diy-mag-levitatio,,,,,,,,,,,,,,,,,,,,output_pending/TGS-DIY-MAG-LEVITATIO/front.jpg,3,DIY Magnetic Levitation Train Track with 55 Pieces for Ages 3+,,,,,active_unimaged,,
tgs-diy-railcar-force,"DIY Railcar Magnetic Force Track Set, 55 Pieces","<p>A DIY magnetic railcar track set with 55 pieces, including loop track sections, a bridge, road signs and traffic lights. The railcar uses magnetic adsorption to travel upside-down and across loops. For ages 3 and up.</p><ul><li>55-piece DIY magnetic track set</li><li>Magnetic adsorption for anti-gravity walking</li><li>Includes bridge, traffic lights and road signs</li><li>Build your own loop track layout</li><li>For ages 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>Railcar</li><li>Track pieces (orange, blue, green)</li><li>Bridge sections</li><li>Road signs and traffic lights</li><li>Connector pieces</li></ul>",The Toy Gift Shop,,Novelty & Fun Toys,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Novelty Toys",FALSE,Title,Default Title,TGS-DIY-RAILCAR-FORCE,,shopify,3,deny,manual,8300.00,,TRUE,TRUE,output_pending/TGS-DIY-RAILCAR-FORCE/angle2.jpg,1,"DIY Railcar Magnetic Force Track Set, 55 Pieces",FALSE,DIY Railcar Magnetic Force Track Set in Pakistan | Toy Gift Shop,"DIY Railcar Magnetic Force track set with 55 pieces, bridge and road signs. Magnetic anti-gravity walking. Ages 3+.",draft,active_unimaged,3,Priced & stocked; waiting on a generated CatalogHero/Lifestyle image.
tgs-diy-railcar-force,,,,,,,,,,,,,,,,,,,,output_pending/TGS-DIY-RAILCAR-FORCE/angle3.jpg,2,"DIY Railcar Magnetic Force Track Set, 55 Pieces",,,,,active_unimaged,,
tgs-diy-railcar-force,,,,,,,,,,,,,,,,,,,,output_pending/TGS-DIY-RAILCAR-FORCE/angle4.jpg,3,"DIY Railcar Magnetic Force Track Set, 55 Pieces",,,,,active_unimaged,,
tgs-doctor-play-set,Family Doctor Play Set with Carry Case,"<p>A doctor role-play set in a carry case shaped like a medical bag. Includes glasses, a stethoscope, a thermometer, a toy syringe, scissors and a doctor toy medicine box. Available in pink and blue. For ages 3 and up.</p><ul><li>Carry case shaped like a doctor&#x27;s bag</li><li>Includes stethoscope, glasses and thermometer</li><li>Includes toy syringe and scissors</li><li>Doctor toy medicine box included</li><li>For ages 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>Carry case</li><li>Toy glasses</li><li>Toy stethoscope</li><li>Toy thermometer</li><li>Toy syringe</li><li>Toy scissors</li><li>Doctor toy medicine box</li></ul>",The Toy Gift Shop,,Pretend Play & Role Play,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Doctor & Medical Sets",FALSE,Title,Default Title,TGS-DOCTOR-PLAY-SET,,shopify,2,deny,manual,1950.00,,TRUE,TRUE,output_pending/TGS-DOCTOR-PLAY-SET/angle2.jpg,1,Family Doctor Play Set with Carry Case,FALSE,Family Doctor Play Set in Pakistan | Toy Gift Shop,"Family Doctor play set with carry case, stethoscope, glasses and more. Pink or blue. Ages 3+.",draft,active_unimaged,2,Priced & stocked; waiting on a generated CatalogHero/Lifestyle image.
tgs-doctor-play-set,,,,,,,,,,,,,,,,,,,,output_pending/TGS-DOCTOR-PLAY-SET/angle3.jpg,2,Family Doctor Play Set with Carry Case,,,,,active_unimaged,,
tgs-doctor-play-set,,,,,,,,,,,,,,,,,,,,output_pending/TGS-DOCTOR-PLAY-SET/front.jpg,3,Family Doctor Play Set with Carry Case,,,,,active_unimaged,,
tgs-domino-colored,Colored Domino Toppling Block Set,<p>A set of colourful rectangular domino blocks for building and toppling chain reactions. Arrange the blocks in a line or pattern and watch them fall. For ages 3 and up.</p><ul><li>Colourful plastic domino blocks</li><li>Build and topple chain-reaction games</li><li>Encourages fine motor skills</li><li>For ages 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>Colored domino blocks</li></ul>,The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-DOMINO-COLORED,,shopify,9,deny,manual,850.00,,TRUE,TRUE,output_pending/TGS-DOMINO-COLORED/angle2.jpg,1,Colored Domino Toppling Block Set,FALSE,Colored Domino Toppling Block Set in Pakistan | Toy Gift Shop,Colored Domino toppling block set for building and knocking down chain reactions. Ages 3+.,draft,active_unimaged,9,Priced & stocked; waiting on a generated CatalogHero/Lifestyle image.
tgs-domino-colored,,,,,,,,,,,,,,,,,,,,output_pending/TGS-DOMINO-COLORED/angle3.jpg,2,Colored Domino Toppling Block Set,,,,,active_unimaged,,
tgs-domino-colored,,,,,,,,,,,,,,,,,,,,output_pending/TGS-DOMINO-COLORED/angle4.jpg,3,Colored Domino Toppling Block Set,,,,,active_unimaged,,
tgs-dominoes-color-dot,"Double Six Color Dot Dominoes, 28 Tiles","<p>A classic set of 28 double-six dominoes with colour-coded dots for easier counting, in a metal storage tin. For ages 5 and up.</p><ul><li>28 double-six domino tiles</li><li>Colour-coded dots for easy counting</li><li>Metal storage tin included</li><li>For ages 5 and up</li></ul><p><strong>What's included:</strong></p><ul><li>28 domino tiles</li><li>1 metal storage tin</li></ul>",The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-DOMINOES-COLOR-DOT,,shopify,1,deny,manual,2150.00,,TRUE,TRUE,output_pending/TGS-DOMINOES-COLOR-DOT/angle2.jpg,1,"Double Six Color Dot Dominoes, 28 Tiles",FALSE,Double Six Color Dot Dominoes in Pakistan | Toy Gift Shop,"Double Six Color Dot Dominoes, 28 tiles in a metal tin. Ages 5+.",draft,active_unimaged,1,Priced & stocked; waiting on a generated CatalogHero/Lifestyle image.
tgs-dominoes-color-dot,,,,,,,,,,,,,,,,,,,,output_pending/TGS-DOMINOES-COLOR-DOT/angle3.jpg,2,"Double Six Color Dot Dominoes, 28 Tiles",,,,,active_unimaged,,
tgs-dominoes-color-dot,,,,,,,,,,,,,,,,,,,,output_pending/TGS-DOMINOES-COLOR-DOT/front.jpg,3,"Double Six Color Dot Dominoes, 28 Tiles",,,,,active_unimaged,,
tgs-drawing-robot-jqr,Drawing Robot JQR-02 for Children's Painting Enlightenment Teaching,"<p>A blue, cartoon-style robot with a pen-like arm designed to draw based on cards. It is made of plastic and includes a card with an animal illustration. The robot is intended for children&#x27;s art education and is shown with a card labeled &#x27;hippo&#x27;.</p><ul><li>Made of plastic</li><li>Includes one drawing card</li><li>Has a pen-like drawing arm</li><li>Designed for children&#x27;s art activities</li><li>Features a cartoon animal face</li></ul><p><strong>What's included:</strong></p><ul><li>Drawing Robot JQR-02</li><li>One animal drawing card (hippo)</li></ul>",The Toy Gift Shop,,"Arts, Crafts & Creative Toys","age:3-5, feature:new, occasion:birthday, occasion:eid, play:build, sub:Art Sets",FALSE,Title,Default Title,TGS-DRAWING-ROBOT-JQR,,shopify,1,deny,manual,15600.00,,TRUE,TRUE,output_pending/TGS-DRAWING-ROBOT-JQR/angle2.jpg,1,Drawing Robot JQR-02 for Children's Painting Enlightenment Teaching,FALSE,Drawing Robot JQR-02 in Pakistan | Toy Gift Shop,Blue cartoon drawing robot JQR-02 for children's painting enlightenment teaching. Includes one animal drawing card. Plastic construction for safe art activities.,draft,active_unimaged,1,Priced & stocked; waiting on a generated CatalogHero/Lifestyle image.
tgs-drawing-robot-jqr,,,,,,,,,,,,,,,,,,,,output_pending/TGS-DRAWING-ROBOT-JQR/angle3.jpg,2,Drawing Robot JQR-02 for Children's Painting Enlightenment Teaching,,,,,active_unimaged,,
tgs-drawing-robot-jqr,,,,,,,,,,,,,,,,,,,,output_pending/TGS-DRAWING-ROBOT-JQR/angle4.jpg,3,Drawing Robot JQR-02 for Children's Painting Enlightenment Teaching,,,,,active_unimaged,,
tgs-tablet-drawing,Card Early Education Device with Rechargeable Battery and Puzzle Cards,"<p>A pink, bear-shaped early education device for children. It has a black LCD writing screen, buttons, and a speaker, and reads included flashcards aloud. Comes with a USB charging cable and puzzle/flash cards. For ages 3 and up.</p><ul><li>Pink plastic body with bear face design</li><li>Black drawing screen with visible writing</li><li>Includes USB recharge cable</li><li>Includes puzzle cards with animal images</li><li>Intended for children ages 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>Pink drawing tablet</li><li>USB charging cable</li><li>Puzzle cards</li><li>Instruction sheet</li></ul>",The Toy Gift Shop,,Educational Toys,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:build, sub:Learning Toys",FALSE,Title,Default Title,TGS-TABLET-DRAWING,,shopify,1,deny,manual,1650.00,,TRUE,TRUE,output_pending/TGS-TABLET-DRAWING/angle2.jpg,1,Card Early Education Device with Rechargeable Battery and Puzzle Cards,FALSE,Early Education Kids Drawing Tablet in Pakistan | Toy Gift Shop,"Pink bear-shaped drawing tablet for ages 3+ with rechargeable battery, puzzle cards, and educational features for early learning.",draft,active_unimaged,1,Priced & stocked; waiting on a generated CatalogHero/Lifestyle image.
tgs-tablet-drawing,,,,,,,,,,,,,,,,,,,,output_pending/TGS-TABLET-DRAWING/angle3.jpg,2,Card Early Education Device with Rechargeable Battery and Puzzle Cards,,,,,active_unimaged,,
tgs-tablet-drawing,,,,,,,,,,,,,,,,,,,,output_pending/TGS-TABLET-DRAWING/angle4.jpg,3,Card Early Education Device with Rechargeable Battery and Puzzle Cards,,,,,active_unimaged,,
tgs-frozen-makeup,Frozen Beautiful Girl's Series Make-Up Set,"<p>A flower-shaped toy makeup compact featuring Frozen artwork (Anna, Elsa and Olaf). Opens to reveal a mirror and a toy makeup palette. For ages 3 and up.</p><ul><li>Flower-shaped compact with mirror</li><li>Frozen Anna, Elsa and Olaf artwork</li><li>Toy makeup palette included</li><li>For ages 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>1 flower-shaped makeup compact</li><li>Mirror</li><li>Toy makeup palette</li></ul>",The Toy Gift Shop,,Pretend Play & Role Play,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Makeup Sets",FALSE,Title,Default Title,TGS-FROZEN-MAKEUP,,shopify,4,deny,manual,850.00,,TRUE,TRUE,output_pending/TGS-FROZEN-MAKEUP/angle2.jpg,1,Frozen Beautiful Girl's Series Make-Up Set,FALSE,Frozen Beautiful Girl's Series Make-Up Set in Pakistan | Toy Gift Shop,Frozen Beautiful Girl's Series flower-shaped make-up set with mirror and toy makeup. Ages 3+.,draft,active_unimaged,4,Priced & stocked; waiting on a generated CatalogHero/Lifestyle image.
tgs-frozen-makeup,,,,,,,,,,,,,,,,,,,,output_pending/TGS-FROZEN-MAKEUP/front.jpg,2,Frozen Beautiful Girl's Series Make-Up Set,,,,,active_unimaged,,
tgs-frozen-ii-makeup,Frozen II My Beauty World Make-Up Set,<p>A crown-shaped toy makeup compact featuring Frozen II artwork (Anna and Elsa). Opens to reveal a mirror and a toy eyeshadow palette. For ages 3 and up.</p><ul><li>Crown-shaped compact with mirror</li><li>Frozen II Anna and Elsa artwork</li><li>Toy eyeshadow palette included</li><li>For ages 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>1 crown-shaped makeup compact</li><li>Mirror</li><li>Toy eyeshadow palette</li></ul>,The Toy Gift Shop,,Pretend Play & Role Play,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Makeup Sets",FALSE,Title,Default Title,TGS-FROZEN-II-MAKEUP,,shopify,4,deny,manual,750.00,,TRUE,TRUE,output_pending/TGS-FROZEN-II-MAKEUP/angle2.jpg,1,Frozen II My Beauty World Make-Up Set,FALSE,Frozen II Beauty Make-Up Set in Pakistan | Toy Gift Shop,Frozen II My Beauty World crown-shaped make-up set with mirror and toy eyeshadow. Ages 3+.,draft,active_unimaged,4,Priced & stocked; waiting on a generated CatalogHero/Lifestyle image.
tgs-frozen-ii-makeup,,,,,,,,,,,,,,,,,,,,output_pending/TGS-FROZEN-II-MAKEUP/front.jpg,2,Frozen II My Beauty World Make-Up Set,,,,,active_unimaged,,
tgs-piano-hedgehog,Hedgehog Piano Baby Toy with Keys and Buttons,"<p>This toy is shaped like a hedgehog with a piano keyboard. It has colorful buttons, a hand drum, and a spinning wheel. The toy plays music and sound effects. It is designed for babies to practice hand-eye coordination.</p><ul><li>Soft material plastic body</li><li>5 musical modes including piano and animal sounds</li><li>Includes a hand drum and spinning wheel</li><li>Features a mode switch button and MIDI button</li><li>Intended for babies aged 18 months and up</li></ul><p><strong>What's included:</strong></p><ul><li>Hedgehog Piano Toy</li><li>Instruction Manual</li></ul>",The Toy Gift Shop,,Musical Toys,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Musical Instruments",FALSE,Title,Default Title,TGS-PIANO-HEDGEHOG,,shopify,1,deny,manual,1850.00,,TRUE,TRUE,output_pending/TGS-PIANO-HEDGEHOG/angle10.jpg,1,Hedgehog Piano Baby Toy with Keys and Buttons,FALSE,Hedgehog Piano Baby Toy in Pakistan | Toy Gift Shop,"Hedgehog Piano Baby Toy with Keys and Buttons. Soft material, 5 modes, hand drum, spinning wheel. For babies 18+ months. Musical toy for hand-eye coordination.",draft,active_unimaged,1,Priced & stocked; waiting on a generated CatalogHero/Lifestyle image.
tgs-piano-hedgehog,,,,,,,,,,,,,,,,,,,,output_pending/TGS-PIANO-HEDGEHOG/angle2.jpg,2,Hedgehog Piano Baby Toy with Keys and Buttons,,,,,active_unimaged,,
tgs-piano-hedgehog,,,,,,,,,,,,,,,,,,,,output_pending/TGS-PIANO-HEDGEHOG/angle3.jpg,3,Hedgehog Piano Baby Toy with Keys and Buttons,,,,,active_unimaged,,
