current_sku,proposed_sku,note
TGS-FIGURE-RONALDO-DANCE,TGS-FIG-PLAYER-DANCE,brand/character name left out until genuine stock is confirmed
TGS-FIGURE-RONALDO-PAIR-BOXED,TGS-FIG-PLAYER-2,brand/character name left out until genuine stock is confirmed
TGS-FIGURE-RONALDO-SOLO-BOXED,TGS-FIG-PLAYER-1,brand/character name left out until genuine stock is confirmed
TGS-FOAM-PLANE-CATAPULT,TGS-PLANE-FOAM,
TGS-GAME-BASEBALLSPORT-SET,TGS-BASEBALL-SET,
TGS-GAME-BASKETBALL-ARCADE,TGS-BASKETBALL,
TGS-GAME-BOTTLEPAIRING-BOWLING,TGS-BOTTLE-MATCH,
TGS-GAME-DICEBOARD-4PLAYER-WOOD,TGS-DICE-WD,
TGS-GAME-INSECTCATCHING-FOURINONE,TGS-BUGCATCH-4IN1,
TGS-GAME-MARBLES-WOODENTOWER,TGS-MARBLE-TOWER,
TGS-GEARDINOSAUR-BIO-GREEN,TGS-DINO-GEAR,
TGS-HANDHELD-GAME-BOXPOWER-M3,TGS-HANDHELD-M3,
TGS-JET-AIRCOMBATFIGHTER-CAMO,TGS-JET-CAMO,
TGS-JET-AIRCOMBATFIGHTER-TEAL,TGS-JET-TEAL,
TGS-KIDS-LAPTOP-ANGELO,TGS-LAPTOP-KIDS,
TGS-KIT-SCIENCE-SLIME-EXPERIMENT,TGS-SLIME-KIT,
TGS-KIT-STEM-EDUCATIONAL,TGS-STEM-KIT,
TGS-KITCHEN-MIXER-MINI-SET,TGS-KITCHEN-MIXER,
TGS-LIONKING-BABYACTIVITY-PINK,TGS-BABY-ACTIVITY-PNK,brand/character name left out until genuine stock is confirmed
TGS-MAKEUP-PALETTE-OPEN-PINK,TGS-MAKEUP-PALETTE,
TGS-PHONE-TOY-COMBOLOCK,TGS-PHONE-LOCK,
TGS-PIANO-ANIMAL-KEYS,TGS-PIANO-ANIMAL,
TGS-PIANO-HEDGEHOG-GREEN-DELUXE,TGS-PIANO-HEDGE-DLX,
TGS-PIANO-HEDGEHOG-SMALL-QIBILEN,TGS-PIANO-HEDGE-S,
TGS-PLUSH-SPIDERMAN-LG,TGS-PLUSH-HERO-L,brand/character name left out until genuine stock is confirmed
TGS-PLUSH-UNICORN-DREAM-BOXED,TGS-PLUSH-UNICORN,
TGS-RC-CAR-BLUEORANGE-GT,TGS-RC-GT-BLUORG,
TGS-RC-CAR-LAMBO-WHITE,TGS-RC-SPORT-WHT,brand/character name left out until genuine stock is confirmed
TGS-RC-CAR-NEON-BOXED,TGS-RC-NEON,
TGS-RC-CAR-VOICE-RED-DUO,TGS-RC-VOICE-RED,
TGS-ROBOT-PAINTING-JQR02-BLUE,TGS-ROBOT-PAINT,
TGS-ROBOT-SONIC-DANCING-BLUE,TGS-ROBOT-DANCE-BLU,brand/character name left out until genuine stock is confirmed
TGS-ROBOT-SPIDER-WALLCLIMBER,TGS-SPIDER-WALL,
TGS-ROBOTTOY-JELLYFISH-BUMPGO,TGS-ROBOT-JELLY,
TGS-SCOOTER-LED-BEIGE,TGS-SCOOTER-BGE,
TGS-SCOOTER-LED-PINK,TGS-SCOOTER-PNK,
TGS-SHELF-LEARNING-MULTIFUNCTION,TGS-LEARN-SHELF,
TGS-SMARTHOUSE-DIGITALSHAPE-VIVIWOOD,TGS-SMARTHOUSE,
TGS-SQUISHY-CRISPCHOCO-CLEARCASE,TGS-SQUISHY-CHOCO,
TGS-SQUISHY-CUBE-GREEN,TGS-SQUISHY-CUBE,
TGS-SQUISHY-DUMPLINGS-YELLOW,TGS-SQUISHY-DUMPLING,
TGS-SQUISHY-OREO-CLEARCASE,TGS-SQUISHY-COOKIE,brand/character name left out until genuine stock is confirmed
TGS-STACKER-RAINBOW-CIRCLE,TGS-STACK-RINGS,
TGS-STACKER-RAINBOW-TOWER,TGS-STACK-TOWER,
TGS-STEM-PLANTGROW-DOME,TGS-STEM-PLANT,
TGS-TABLET-DRAWING-SET,TGS-TABLET-DRAW,
TGS-TABLET-EDUCATION-PINK,TGS-TABLET-EDU-PNK,
TGS-TABLET-KIDS-BLUE,TGS-TABLET-BLU,
TGS-TABLET-KIDS-PINK,TGS-TABLET-PNK,
TGS-TOOL-CIRCULARSAW-TOY-ORANGE,TGS-TOOL-SAW,
TGS-TOOLSET-DRILL-TOY-TEAL,TGS-TOOL-DRILL,
TGS-TOOLSET-SCREWCAR-REASSEMBLY,TGS-TOOL-SCREWCAR,
TGS-TOY-BALANCE-TIGHTROPE,TGS-BALANCE-ROPE,
TGS-TOY-BALLRAMP-TOWER,TGS-BALL-RAMP,
TGS-TOY-BALLSCOOP-BLUE,TGS-BALL-SCOOP,
TGS-TOY-BUBBLE-MAGIC-SET,TGS-BUBBLE-SET,
TGS-TOY-CARDMACHINE-PINK,TGS-CARD-MACHINE,
TGS-TOY-CLOCK-WOODEN-COLORFUL,TGS-CLOCK-WD,
TGS-TOY-DINORUNNING-WHITE,TGS-DINO-RUN,
TGS-TOY-GAMECONTROLLER-BABYLIONI,TGS-BABY-CONTROLLER,
TGS-TOY-GEARBUSY-PINK-ROUND,TGS-BUSY-GEAR-PNK,
TGS-TOY-MAGICWAND-HEART,TGS-WAND-HEART,
TGS-TOY-MINIONS-ROLLERCOASTER-DESPICABLEME2,TGS-COASTER-TOY,brand/character name left out until genuine stock is confirmed
TGS-TOY-MONTESSORI-HANDLE-BLUE,TGS-MONTESSORI-BLU,
TGS-TOY-ORBITBALL-ROTATING,TGS-ORBIT-BALL,
TGS-TOY-PULLALONG-TELEPHONE-BLUE,TGS-PHONE-PULL,
TGS-TOY-SMARTREMOTE-KEYCHAIN,TGS-REMOTE-KEY,
TGS-TOY-STEPXYLOPHONE-PINK,TGS-XYLO-STEP,
TGS-TOY-UNICORN-LOCKBOX-PEACH,TGS-LOCKBOX-UNICORN,
TGS-TOY-VACUUM-COOL-BLUE,TGS-VACUUM-BLU,
TGS-TRAIN-CATERPILLAR-MAGNETIC-WOOD,TGS-TRAIN-CATERPILLAR,
TGS-TRAIN-MAGNETICDIGITALCAR-PURPLE,TGS-TRAIN-DIGIT,
TGS-TUMBLER-BLACK-STRAW,TGS-TUMBLER-BLK,
TGS-TUMBLER-GREY-QUILTED,TGS-TUMBLER-GRY,
TGS-VEHICLE-ELECTRICCART-EXCAVATOR,TGS-GEAR-EXCAVATOR,
TGS-VEHICLE-GEAR-TRANSPARENT-TRACTOR,TGS-GEAR-TRACTOR,
TGS-VENDINGMACHINE-TOY-WHITEGREEN,TGS-VENDING,
TGS-WALKIETALKIE-VIDEO-KIDS,TGS-WALKIE-VIDEO,
TGS-XYLOPHONE-ANIMALBAND-KNOCKPIANO,TGS-XYLO-KNOCK,
