handle,title,vendor,product_type,status,price,compare_at_price,sku,stock,age,occasions,play,subcategories,features,collections,all_tags,image,url,seo_title,seo_description,description
angelo-notebook-pc-educational-toy-with-mouse,Angelo Notebook PC Educational Toy with Mouse,The Toy Gift Shop,Educational Toys,DRAFT,5500.00,,TGS-NOTEBOOK-PC,3,3-5,"birthday, eid",build,Learning Toys,new,"age-3-5, all, best-sellers, big-gifts, educational-toys, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:build, sub:Learning Toys",,,Angelo Notebook PC in Pakistan | Toy Gift Shop,"Angelo Notebook PC educational toy for ages 3+ with keyboard, mouse, and screen. Designed for learning and play. Made in China.","The Angelo Slimline Notebook is a toy laptop from the Enlightenment Educational Series, with a screen, a full keyboard and its own mouse. The box calls it a new style flashing enter. Not for children under 3, as it has small parts."
animal-piano-keyboard,Animal Piano Keyboard with Animal Sound Buttons and Recording Function,The Toy Gift Shop,Musical Toys,DRAFT,7500.00,,TGS-ANIMAL-PIANO-KEYS,3,3-5,"birthday, eid",pretend,Musical Instruments,new,"age-3-5, all, best-sellers, big-gifts, musical-toys, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Musical Instruments",,,Animal Piano Keyboard in Pakistan | Toy Gift Shop,"Animal Piano Keyboard with animal sound buttons, recording function, and volume/tempo controls. Designed for children 18 months and older.","This toy piano has a white plastic body with a keyboard, colorful animal buttons, and sound effect controls. It includes recording and replay functions. The toy is designed for children 18 months and older. It plays melodies and animal sounds."
baby-book-electronic-learning,Baby Book Electronic Learning Toy with Sound,The Toy Gift Shop,Educational Toys,DRAFT,2250.00,,TGS-BABY-BOOK,3,3-5,"birthday, eid",build,Learning Toys,new,"age-3-5, all, best-sellers, educational-toys, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:build, sub:Learning Toys",,,Baby Book Electronic Learning Toy in Pakistan | Toy Gift Shop,Baby Book electronic learning toy with sound buttons and carry handle. Ages 3+.,"An electronic learning book with a carry handle and sound buttons. Pages cover numbers, letters, animals and more with interactive audio. For ages 3 and up."
baby-rattle-turntable-set,Little Tin Lok Baby Rattle Turntable Set,The Toy Gift Shop,Baby & Toddler Toys,DRAFT,1850.00,,TGS-BABY-RATTLE-TURNTABLE,9,0-1,"birthday, eid",pretend,Baby Toys,new,"age-0-1, all, baby-toddler-toys, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:0-1, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Baby Toys",,,Little Tin Lok Baby Rattle Turntable Set in Pakistan | Toy Gift Shop,"Little Tin Lok Baby Rattle Turntable Set: three spinning suction rattles in blue, pink and yellow. 360° rotating. From 0 months.","A Little Tin Lok Baby Rattle Turntable Set: three spinning rattles in blue, pink and yellow, each with a soft animal face and beads that click as they turn. The box says 360° rotating with super strong suction, so a rattle sticks to the high-chair tray or table while baby spins it. From 0 months."
ball-catching-claw-game,Ball Catching Claw Game with Digital Timer and Steering Wheel,The Toy Gift Shop,Robots & Electronic Toys,DRAFT,8500.00,,TGS-BALL-CATCHING-CLAW,1,5-8,"birthday, eid",games,Arcade Games,new,"age-5-8, all, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid, robots-electronic-toys","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Arcade Games",,,Ball Catching Claw Game in Pakistan | Toy Gift Shop,"Ball Catching Claw Game with digital timer, steering wheel, and 30 colorful balls for ages 3+. Perfect for parent-child interaction.",This is a ball-catching arcade game with a digital timer and a steering wheel. It is made of plastic with colorful balls. The game has a digital display showing a score. It is for children aged 3 and up. The game is designed for parent-child interaction and includes a light feature.
basketball-board-game-championship-trophy,Basketball Board Game – Championship Trophy Catapult,The Toy Gift Shop,Board Games,DRAFT,1350.00,,TGS-BBALL-BOARD,2,5-8,"birthday, eid",games,Family Board Games,new,"age-5-8, all, best-sellers, board-games, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",,,Basketball Board Game in Pakistan | Toy Gift Shop,"Basketball board game shaped like a championship trophy: two catapults, 4 balls, most goals wins.","A two-player basketball game shaped like a championship trophy. Open the trophy and both sides play at once: put a basketball on the catapult, aim, press, and shoot it into the basket. Most goals wins. The box gives the size as 19.5 x 8.8 cm."
basketball-shooting-machine,Basketball Shooting Machine with Dinosaur Character,The Toy Gift Shop,Robots & Electronic Toys,DRAFT,6250.00,,TGS-BBALL-SHOOTING,2,5-8,"birthday, eid",games,Arcade Games,new,"age-5-8, all, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid, robots-electronic-toys","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Arcade Games",,,Basketball Shooting Machine in Pakistan | Toy Gift Shop,A basketball shooting machine toy with a dinosaur character for children aged 3+. Includes basketballs and a launcher mechanism for fun play.,This toy basketball shooting machine features a green dinosaur character on top. It has a small basketball hoop and a digital display. The machine is operated by pressing a button to launch a basketball. It is designed for children aged 3 and up.
bead-box-jewellery-kit-teal,"Bead Box Jewellery Kit – Letters, Pearls and Beads",The Toy Gift Shop,"Arts, Crafts & Creative Toys",DRAFT,1050.00,,TGS-BEAD-BOX-TEAL,6,3-5,"birthday, eid",build,Art Sets,new,"age-3-5, all, arts-crafts-creative-toys, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:build, sub:Art Sets",,,Bead Box Jewellery Kit in Pakistan | Toy Gift Shop,"Teal bead box with six trays: alphabet beads, pearls, pastels and striped beads, with elastic cord.","A teal carry case with six trays of beads: alphabet cubes for spelling out names, pearls, pastel rounds, striped melon beads and a spool of elastic cord in the middle. Enough for a whole afternoon of bracelets, and it all clips away again."
blast-of-flames-led-light-sword-toy,Blast Of Flames LED Light Sword Toy,The Toy Gift Shop,Novelty & Fun Toys,DRAFT,3650.00,,TGS-BLAST-FLAMES,1,3-5,"birthday, eid",games,Novelty Toys,new,"age-3-5, all, best-sellers, gifts-under-5000, new-in, novelty-fun-toys, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Novelty Toys",,,Blast Of Flames in Pakistan | Toy Gift Shop,"Blast Of Flames LED light sword toy for kids aged 8+. Features blue lights, plastic construction, and includes 10 round-headed bullets. Great for imaginative play.",This toy is a sword-shaped light-up item with blue LED lights. It is made of plastic and has a black and blue color scheme. It stands upright on a black base. It is designed for children aged 8 and up. The lights are activated by a button on the hilt.
block-building-toys-in-clear-storage-jar,Block Building Toys in Clear Storage Jar with Red Lid,The Toy Gift Shop,Building & Construction Toys,DRAFT,4250.00,,TGS-BLOCK-BUILDING,2,3-5,"birthday, eid",build,Building Blocks,new,"age-3-5, all, best-sellers, building-construction-toys, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:build, sub:Building Blocks",,,Block Building Toys in Pakistan | Toy Gift Shop,Colorful plastic building blocks in a clear storage jar with a red lid. Ideal for kids to build and create. Perfect for playtime and storage.,"A jar of chunky building blocks, including wheels and special pieces, with a screw-on red lid so everything goes back in after play. The blocks press together with studs, big enough for small hands."
boom-strike-hammer-game,Boom Strike Hammer Game – Light-Up Tower with Score Display,The Toy Gift Shop,Robots & Electronic Toys,DRAFT,7350.00,,TGS-BOOM-STRIKE-HAMMER,3,3-5,"birthday, eid",games,Arcade Games,new,"age-3-5, all, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid, robots-electronic-toys","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Arcade Games",,,Boom Strike Hammer Game in Pakistan | Toy Gift Shop,"Boom Strike hammer game: hit the pad, lights race up the tower, digital score. Challenge, free play, time attack and 2-player modes. Ages 3+.","Boom Strike is a real action game set: hit the pad with the hammer and the lights race up the scoring tower, with the score on the digital display. The box lists single-player modes (challenge, free play and time attack) and a two-player mode where each player gets 3 rounds and the highest total wins. Volume has three levels. Ages 3+, two players."
brilliant-talking-telephone-toy,Brilliant Talking Telephone Toy for Babies,The Toy Gift Shop,Musical Toys,DRAFT,2250.00,,TGS-BRILLIANT-TALKING-PHONE,2,3-5,"birthday, eid",pretend,Musical Instruments,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, musical-toys, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Musical Instruments",,,Brilliant Talking Telephone in Pakistan | Toy Gift Shop,"Blue plastic toy telephone with lights, sounds, and wheels. Pull-along design for babies 12 months and older. Develops imagination and motor skills.",A blue plastic toy telephone with a red handset and wheels. It has colorful buttons that light up and make sounds. It is designed to be pulled along by a child. Intended for babies 12 months and older.
busy-book-match-and-learn-activity-book,Busy Book – Match and Learn Activity Book,The Toy Gift Shop,Educational Toys,DRAFT,2300.00,,TGS-BUSY-BOOK-MATCH,2,3-5,"birthday, eid",build,Learning Toys,new,"age-3-5, all, best-sellers, educational-toys, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:build, sub:Learning Toys",,,Busy Book in Pakistan | Toy Gift Shop,"Busy Book: matching pages for weather and the planets, with stick-on cards that store in the book. Ages 3+.","A busy book of matching pages: lift the little cards and stick them where they belong. The weather page runs from sunshine and rainbow to typhoon and storm, and the planets page lays out Mercury to Saturn around the sun. Sturdy board pages, and everything stores back in the book. Ages 3+ as printed on the box."
camel-animal-figure,Bactrian Camel Figure,The Toy Gift Shop,Animal & Dinosaur Toys,DRAFT,2850.00,,TGS-CAMEL-FIGURE,4,3-5,"birthday, eid",pretend,Animal Figures,new,"age-3-5, all, animal-dinosaur-toys, best-sellers, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Animal Figures",,,Camel Figure in Pakistan | Toy Gift Shop,"Two-humped Bactrian camel figure in sandy brown, moulded detail, stands on its own.","A two-humped Bactrian camel figure in sandy brown, with dark tufts on the humps and moulded fur along the neck. It stands on its own and suits a desert scene, a nativity set or a shelf."
capsule-squishy-ball,Capsule Squishy Ball,The Toy Gift Shop,Sensory & Fidget Toys,DRAFT,1950.00,,TGS-SQUISHY-CAPSULE-BALL,5,3-5,"birthday, eid",games,Squishies,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid, sensory-fidget-toys","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Squishies",,,Capsule Squishy Ball in Pakistan | Toy Gift Shop,Pastel swirl squishy ball in a clear round capsule. Soft sensory fidget toy for ages 3+.,"A soft squishy ball swirled in pastel pink, blue and yellow, packed inside a clear round capsule. Open the capsule, squeeze the ball and let it spring back. It is a toy, not food."
cars-lightning-mcqueen-steering-wheel,Disney Cars Steering Wheel with Sounds,The Toy Gift Shop,Pretend Play & Role Play,DRAFT,1450.00,,TGS-CARS-STEER-WHEEL,1,3-5,"birthday, eid",pretend,Role Play Sets,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid, pretend-play-role-play","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Role Play Sets",,,Cars Steering Wheel in Pakistan | Toy Gift Shop,Disney Cars steering wheel with sounds and a suction base. Ages 3+.,"A Disney Cars steering wheel in Lightning McQueen red, with a suction base and sound buttons across the middle. Ages 3+ as printed on the box."
cartoon-animal-hand-knock-piano-series-8-tone,Cartoon Animal Hand Knock Piano Series 8-Tone Xylophone with Mallets,The Toy Gift Shop,Musical Toys,DRAFT,1050.00,,TGS-CARTOON-ANIMAL-XYLO,5,3-5,"birthday, eid",pretend,Musical Instruments,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, musical-toys, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Musical Instruments",,,Cartoon Animal Xylophone Piano in Pakistan | Toy Gift Shop,8-tone cartoon animal hand xylophone piano toy with mallets for ages 3+. Made of wood and painted plastic. Great for musical play.,"An 8-tone hand knock piano from the Cartoon Animal Hand Knock Piano Series: eight colourful keys on a wooden frame with a carry handle, played with two mallets. The box prints the music for Twinkle Twinkle Little Star and Happy Birthday so beginners can follow along. Ages 3+, with a choking hazard warning for small parts."
catan-board-game,"Catan - Trade, Build, Settle Board Game",The Toy Gift Shop,Board Games,DRAFT,5800.00,,TGS-CATAN,3,5-8,"birthday, eid",games,Family Board Games,new,"age-5-8, all, best-sellers, big-gifts, board-games, new-in, occasion-birthday, occasion-eid","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",,,Catan Board Game in Pakistan | Toy Gift Shop,"Catan -- trade, build, settle. The classic strategy board game. Ages 10+.","Catan, the classic strategy board game of trading, building and settling the island of Catan. Collect resources, trade with opponents, and build roads and settlements to win. For ages 10 and up."
catapult-deformation-truck-car-carrier,Catapult Eformation Truck 2-in-1 Car Carrier Toy,The Toy Gift Shop,Cars & Vehicles,DRAFT,4250.00,,TGS-CATAPULT-EFORMATIO-TRUCK,1,3-5,"birthday, eid",vehicles,Die-Cast Cars,new,"age-3-5, all, best-sellers, cars-vehicles, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:vehicles, sub:Die-Cast Cars",,,Catapult Eformation Truck in Pakistan | Toy Gift Shop,2-in-1 toy truck that transforms from a car carrier to a flatbed. Carries 5 small cars. Ages 3+. Plastic construction. Great for imaginative play.,This toy truck carries multiple small cars on a two-level rack. It can be transformed from a car carrier into a flatbed truck. The toy is made of plastic and includes small cars. It is designed for children aged 3 and up.
chess-checkers-magnetic-set,Chess / Checkers 2-in-1 Magnetic Travel Set with Foldable Board,The Toy Gift Shop,Board Games,DRAFT,5850.00,,TGS-CHESS-CHECKERS,2,5-8,"birthday, eid",games,Family Board Games,new,"age-5-8, all, best-sellers, big-gifts, board-games, new-in, occasion-birthday, occasion-eid","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",,,Chess Checkers 2-in-1 Magnetic Set in Pakistan | Toy Gift Shop,Chess / Checkers 2-in-1 magnetic travel set with a foldable board.,"A 2-in-1 magnetic chess and checkers set with a foldable travel board. Includes black and white chess pieces and black and white checkers pieces, all magnetic for travel play."
chicks-icebreaker-adventure,Chicks Icebreaker Adventure - Break the Ice Balance Game,The Toy Gift Shop,Board Games,DRAFT,1400.00,,TGS-CHICKS-ICEBREAKER,1,5-8,"birthday, eid",games,Family Board Games,new,"age-5-8, all, best-sellers, board-games, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",,,Chicks Icebreaker Adventure Game in Pakistan | Toy Gift Shop,Chicks Icebreaker Adventure balance game - break the ice without dropping the chicks. Ages 3+.,A break-the-ice balance game with a chick theme. Players take turns tapping out ice blocks from a hexagonal platform without letting the chick figures fall. Includes a spinner and windmill-style ice pick tools. For ages 3 and up.
childrens-camera,"Children's Camera with Unicorn Design – 1080p Photo, Video and Selfie",The Toy Gift Shop,Robots & Electronic Toys,DRAFT,7650.00,,TGS-S-CAMERA,3,5-8,"birthday, eid",games,Electronic Toys,new,"age-5-8, all, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid, robots-electronic-toys","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Electronic Toys",,,Children's Camera in Pakistan | Toy Gift Shop,"Children's unicorn camera: 1080p video, 2.4 inch IPS screen, filters and selfie mode, Type-C charging. Ages 6+.","A children's camera in a unicorn design. The box specs: 1920 x 1080 video, a 2.4 inch IPS screen, photo, video and selfie modes, double photo and filter stickers, an ABS body and a 3.7V 600mAh battery that charges by Type-C in about two hours. Ages 6+."
childrens-digital-camera,Children's Digital Camera – Green,The Toy Gift Shop,Robots & Electronic Toys,DRAFT,2600.00,,TGS-S-DIGITAL-CAMERA,4,3-5,"birthday, eid",games,Electronic Toys,new,"age-3-5, all, best-sellers, gifts-under-5000, new-in, occasion-birthday, occasion-eid, robots-electronic-toys","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Electronic Toys",,,Children's Digital Camera in Pakistan | Toy Gift Shop,"Green children's digital camera with a screen on the back, pink lanyard and USB cable.","A small digital camera for children, in green. It has a big front lens, a screen on the back and simple round buttons. It comes with a pink lanyard and a USB cable. The box has tick boxes for blue, pink and green; this one is the green camera."
childrens-puzzle-game-card-machine,Children's Puzzle Game Card Machine,The Toy Gift Shop,Board Games,DRAFT,2250.00,,TGS-CARD-PUZZLE,1,5-8,"birthday, eid",games,Family Board Games,new,"age-5-8, all, best-sellers, board-games, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",,,Children Card Machine Puzzle Game in Pakistan | Toy Gift Shop,A children's puzzle game card machine with puzzle cards for ages 3+. Plastic toy with screen and buttons. Great for learning and play.,This is a children's puzzle game machine with a pink and blue toy-like design. It has a screen and buttons. It comes with a separate box of puzzle cards. The box indicates it is for ages 3+.
chocolate-bar-squishy-kinder-and-snickers,Chocolate Bar Squishy Toy – Kinder Maxi or Snickers,The Toy Gift Shop,Sensory & Fidget Toys,DRAFT,1850.00,,TGS-CHOCOLATE-BAR-SQUISHY,8,3-5,"birthday, eid",games,Squishies,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid, sensory-fidget-toys","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Squishies",,,Chocolate Bar Squishy in Pakistan | Toy Gift Shop,"Chocolate bar squishy toy in Kinder Maxi or Snickers design. Squeeze and release for fidget play. A toy, not food. Ages 3+.","A soft squishy shaped like a chocolate bar, in two designs: Kinder Maxi and Snickers. Squeeze it and let it spring back. It comes in a clear wrapper. It is a toy, not food."
classic-express-remote-control-train-set,Classic Express Remote Control Train Set with Smoke System and Circular Track,The Toy Gift Shop,RC & Remote Control Toys,DRAFT,5850.00,,TGS-RC-CONTROL-TRAIN,1,5-8,"birthday, eid",vehicles,RC Vehicles,new,"age-5-8, all, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid, rc-remote-control-toys","age:5-8, feature:new, occasion:birthday, occasion:eid, play:vehicles, sub:RC Vehicles",,,Remote Control Train Set in Pakistan | Toy Gift Shop,"Classic Express remote control train set with smoke system, circular track, and remote control for ages 3+. Includes locomotive, cargo cars, and track pieces.","This remote control train set includes a black and red locomotive with a smoke system, two cargo cars, a circular track, and a blue remote control. The train runs on a black plastic track and is designed for children aged 3 and up. The set is assembled on a white foam surface."
cnuno-card-game,CNUNO Family Card Game,The Toy Gift Shop,Board Games,DRAFT,480.00,,TGS-CNUNO,3,5-8,"birthday, eid",games,Family Board Games,new,"age-5-8, all, best-sellers, board-games, gifts-under-1000, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",,,CNUNO Family Card Game in Pakistan | Toy Gift Shop,CNUNO family card game -- colour and number matching with action cards. Ages 7+.,"CNUNO is a UNO-style matching and action-card family card game. Match colours and numbers, play action cards, and be first to empty your hand. For ages 7 and up."
