product_handle,product_title,variant,sku,barcode,price,compare_at_price,stock
inflatable-lounger-sofa-single-size,Inflatable Lounger Sofa - Single Size,Default Title,TGS-INFLATABL-SOFA-LOUNGER,,7650.00,,1
inflatable-round-sofa-chair-single-size,Inflatable Round Sofa Chair - Single Size,Default Title,TGS-INFLATABL-SOFA-ROUND,,5500.00,,1
intelligence-learning-game-educational-toy,"Intelligence Learning Game – Letters, Words, Numbers and Sounds",Default Title,TGS-INTELLIGE-LEARNING,,4150.00,,2
intex-aquaflow-swim-cap,Intex AquaFlow Swim Cap for Ages 8+,Default Title,TGS-AQUAFLOW-SWIM-CAP,,1340.00,,5
jellyfish-bump-and-go-dancing-toy,Jellyfish Bump and Go Dancing Toy,Default Title,TGS-JELLYFISH-BUMP-GO,,1850.00,,1
jenga-classic-game,Jenga Classic Wooden Block Stacking Game,Default Title,TGS-JENGA,,2900.00,,2
jumbo-sequence-game,Jumbo Sequence Game with Jumbo Size Playing Mat,Default Title,TGS-JUMBO-SEQUENCE,,2850.00,,3
junior-pictionary-game,Junior Pictionary - The Game of Quick Draw for Kids,Default Title,TGS-JR-PICTIONARY,,2850.00,,1
kids-kitchen-toy-dishwasher,Kids Kitchen Toy Dishwasher with Sound and Lights,Default Title,TGS-DISHWASHE,,5500.00,,1
kids-tool-drill-set,Kids Tool Drill Set with Accessories,Default Title,TGS-TOOL-DRILL,,3850.00,,1
king-of-fighters-kyo-kusanagi-figure,The King of Fighters Kyo Kusanagi Action Figure,Default Title,TGS-FIGHTERS-FIGURE,,1990.00,,3
kpop-demon-hunters-beauty-girl-makeup-case,KPop Demon Hunters Beauty Girl Makeup Case,Default Title,TGS-BEAUTY-GIRL-MAKEUP,,2850.00,,6
kuromi-15th-anniversary-art-painting-set,Kuromi 15th Anniversary Art Case – Cheeky but Charming,Default Title,TGS-DELUXE-ART-PAINT,,5800.00,,2
kuromi-character-night-light,Kuromi Character Night Light with USB Cable,Kuromi,TGS-KUROMI-NIGHT-LIGHT-KUROMI,,2850.00,,5
kuromi-makeup-case,Kuromi Makeup Case with 30+ Accessories,Default Title,TGS-MAKEUP-CASE,,5850.00,,2
kuromi-moon-light-lamp,Kuromi Moon Light Lamp,Default Title,TGS-KUROMI-MOON-LAMP,,2600.00,,3
kuromi-pop-figures-set-of-4,Kuromi Pop! Figures - Set of 4 Collectible Vinyl Figures,Default Title,TGS-POP-FIGURES,,3860.00,,1
labubu-bubble-gun,Labubu Electric Bubble Gun with Lights,Default Title,TGS-BUBBLE-GUN,,1450.00,,2
lasika-w-f181-digital-watch,Lasika W-F181 Digital Watch,Default Title,TGS-LASIKA-DIGITAL-WATCH,,1550.00,,5
leding-the-life-diy-acrylic-message-lamp,DIY Acrylic Message Lamp with Colour Markers,Default Title,TGS-ACRYLIC-LED-LAMP,,1250.00,,3
lightsaber-toy,Lightsaber Toy Sword with Sheath,Default Title,TGS-LIGHTSABE,,4900.00,,3
little-helper-simulated-cleaning-kit,Little Helper Simulated Cleaning Kit,Default Title,TGS-LITTLE-HELPER-CLEANING,,4250.00,,1
ludo-game-magnetic-board,Ludo Game Magnetic Board,Default Title,TGS-LUDO-MAGNETIC-BOARD,,1450.00,,1
ludo-magnetic-game-compact,"Ludo Magnetic Game, Compact Folding Board",Default Title,TGS-LUDO-COMPACT,,1750.00,,2
m-206-electric-gel-blaster,M-206 Electric Gel Bead Blaster with Soak Kit,Default Title,TGS-M206-GEL-BLASTER,,5300.00,,3
magic-wand-crown-tiara,Magic Wand Crown Tiara with Light and Sound,Default Title,TGS-MAGIC-WAND-CROWN,,2500.00,,2
magical-pony-figure-blue,"Magical Pony Figure with Brushable Hair, Blue",Default Title,TGS-PONY-FIGURE-BLUE,,750.00,,2
magnetic-building-blocks-minecraft-theme-set,Magnetic Building Blocks Minecraft Theme Set,Default Title,TGS-MAG-BUILDING-BLOCKS,,2350.00,,5
magnetic-digital-car-train-set,Magnetic Digital Train Set with Numbered Cars,Default Title,TGS-MAG-DIGITAL-TRAIN,,2600.00,,2
magnetic-world-cute-pet-building-set,Magnetic World Scene Series X Captive Cute Pet Building Set,Default Title,TGS-MAG-WORLD,,2450.00,,2
maisto-ducati-streetfighter-s-1-12-scale,Maisto Ducati Streetfighter S 1/12 Scale Diecast Motorcycle,Default Title,TGS-MOTO-DIECAST,,2750.00,,1
makeup-set-case-princess-bag-and-chest,Makeup Set Case for Kids - Colorful Princess Bag,Princess Bag,TGS-MAKEUP-SET-CASE-PRINCESS-BAG,,3450.00,,
makeup-set-case-princess-bag-and-chest,Makeup Set Case for Kids - Colorful Princess Bag,Treasure Chest,TGS-MAKEUP-SET-CASE-TREASURE-CHEST,,3450.00,,
mermaid-makeup-case-2in1,Mermaid 2-in-1 Beauty Make Up Case with Jewellery,Default Title,TGS-MERMAID-MAKEUP,,3250.00,,11
mini-appliances-toy-refrigerator,Mini Appliances Toy Refrigerator with Play & Learn Simulation,Default Title,TGS-APPLIANCE-FRIDGE,,2850.00,,1
mini-rc-forklift-1-64-scale,Mini Rc Forklift 1:64 Scale Remote Control Toy with Phone App Control,Default Title,TGS-RC-FORKLIFT,,4250.00,,1
miniature-truck-collection,"Miniature Transport Truck in a Display Case – Blue, Black/Grey or Red",Blue,TGS-TRUCKS-BLU,,1150.00,,2
miniature-truck-collection,"Miniature Transport Truck in a Display Case – Blue, Black/Grey or Red",Black/Grey,TGS-TRUCKS-BLK,,1150.00,,2
miniature-truck-collection,"Miniature Transport Truck in a Display Case – Blue, Black/Grey or Red",Red,TGS-TRUCKS-RED,,1150.00,,1
mochi-squishy,Mochi Squishy in Clear Case,Default Title,TGS-SQUISHY-MOCHI,,1850.00,,3
monopoly-classic-board-game,Monopoly Classic Property Trading Board Game,Default Title,TGS-MONOPOLY-CLASSIC,,1850.00,,3
monopoly-deal-card-game,Monopoly Deal Card Game,Default Title,TGS-MONOPOLY-DEAL,,480.00,,5
montessori-handle-light-game,Montessori Handle Light Game,Default Title,TGS-MONTSSRI-HANDLE-LIGHT,,2450.00,,3
multifunction-learn-shelf,Multifunction Learn Shelf with Abacus and Activity Panels,Default Title,TGS-MULTI-LEARN-SHELF,,4500.00,,1
naruto-shippuden-naruto-uzumaki-action-figure,Naruto Shippuden Naruto Uzumaki Action Figure,Default Title,TGS-FIG-NARUTO,,1650.00,,1
needoh-oreo-squishy,Schylling NeeDoh Oreo Squishy – Switch & Swap Frosting,Default Title,TGS-SQUISHY-OREO,,1550.00,,23
notebook-and-pen-gift-set,Notebook and Pen Gift Set in a Navy Box,Default Title,TGS-BLUE-TILE,,1350.00,,3
ocean-liner-water-gun-toy,Ocean Liner Water Gun Toy with Sound and Lighting,Default Title,TGS-OCEAN-LINER-WATER,,2450.00,,1
orange-die-cast-metal-off-road-monster-truck,Orange Die-Cast Metal Off-Road Monster Truck Toy,Default Title,TGS-ORANGE-MONSTER-TRUCK,,2850.00,,5
oubiao-10x38-toy-binoculars-with-case,Oubiao 10x38 Binoculars for Children – Pink,Default Title,TGS-BINOCULAR,,1250.00,,5
ozen-star-arabic-sound-learning-book,Ozen Star Arabic Sound Learning Book for Children,Default Title,TGS-ARABIC-SOUND-LEARNING,,2500.00,,1
ozen-star-islamic-learning-tablet,Ozen Star Islamic Learning Tablet for Children,Default Title,TGS-AL-QURAN-LEARNING,,2500.00,,2
paw-patrol-go-fishing-game,Paw Patrol Go Fishing Game,Default Title,TGS-PAW-PATROL-GO,,1150.00,,11
peng-jia-multicoloured-flash-drum,Peng Jia Multicoloured Flash Drum with Sticks,Default Title,TGS-FLASH-DRUM,,2150.00,,9
pinball-game-machine,Pinball Game Machine with Marbles and Digital Score Display,Default Title,TGS-PINBALL,,6900.00,,1
pixel-led-sword-light-up,"Pixel LED Light-Up Sword, Minecraft-Style",Blue/Black,TGS-PIXEL-LED-SWORD-BLU,,2450.00,,2
pixel-led-sword-light-up,"Pixel LED Light-Up Sword, Minecraft-Style",Purple/Green,TGS-PIXEL-LED-SWORD-PUR,,2450.00,,2
playroom-toy-iron-appliance,Playroom Toy Iron Appliance for Pretend Play,Default Title,TGS-IRON-APPLIANCE,,1250.00,,3
power-punch-arcade-game,Power Punch Arcade Game with Punch Meter and Digital Display,Default Title,TGS-POWER-PUNCH-ARCADE,,7600.00,,1
puzzle-busy-board-house-educational-toy,Puzzle Busy Board House Educational Toy for Toddlers,Default Title,TGS-PUZZLE-BUSY-BOARD,,4850.00,,1
rainbow-tower-unicorn-stacker-toy,Rainbow Tower Unicorn Stacker Toy,Default Title,TGS-RAINBOW-TOWER-UNICORN,,2350.00,,1
ram-animal-figure,Ram Figure with Curled Horns,Default Title,TGS-RAM-FIGURE,,2850.00,,3
ranlok-remote-control-gear-car,Remote Control Car with Transmitter and Packaging,Default Title,TGS-GEAR-RC-CAR,,2250.00,,4
rc-drift-racing-car,RC Drift Racing Car with 4WD and Neon LED Lights,Default Title,TGS-RC-DRIFT-RACING,,12600.00,,5
remote-control-swim-crocodile-toy,Remote Control Swim Crocodile Toy with Controller,Default Title,TGS-SWIM-CROCODILE,,7000.00,,1
rhinoceros-baby-unicorn-toy,Rhinoceros Baby Unicorn Toy with Light,Default Title,TGS-RHINOCERO-BABY,,2650.00,,5
sequence-strategy-board-game,Sequence - An Exciting Game of Strategy,Default Title,TGS-SEQUENCE,,2250.00,,3
sheep-animal-figure,Sheep Figure with Moulded Fleece,Default Title,TGS-SHEEP-FIGURE,,2850.00,,3
shining-unicorn-makeup-case,Shining Unicorn Makeup Case with 46 Kinds of Toys,Default Title,TGS-SHINING-UNICORN-MAKEUP,,5250.00,,1
shooting-elite-graffiti-gel-blaster,Shooting Elite Water Gun with Accessories,Default Title,TGS-SHOOT-ELITE-GRAFFITI,,5400.00,,1
shooting-elite-mp7,Shooting Elite 2-in-1 Water & Soft Bullet Toy Gun,Default Title,TGS-SHOOT-ELITE-MP7,,5100.00,,5
smart-remote-baby-key-fob-toy,Smart Remote Baby Key Fob with Sensory Keys,Default Title,TGS-SMART-REMOTE-KEYS,,1850.00,,8
space-journey-bubble-machine,Space Journey Bubble Machine with Adjustable Speed,Default Title,TGS-SPACE-JOURNEY-BUBBLE,,2850.00,,1
spider-launcher-toy,Spider Launcher Wrist Toy with Glove,Default Title,TGS-SPIDER-LAUNCHER,,2900.00,,5
stacked-circle-ring-stacker-toy,Stacked Circle Ring Stacker with Dinosaur Topper,Default Title,TGS-STACKED-CIRCLE-RING,,1550.00,,2
stacked-cup-battle-game,"Prism Stacked Cup Battle Game – 12 Cups, Bell and Pattern Cards",Default Title,TGS-STACKED-CUP-BATTLE,,2800.00,,2
stars-football-figure-ronaldo-and-mbappe,STARS Football Figure with Trophy and Ball – Ronaldo or Mbappé,Ronaldo – Al-Nassr,TGS-FIG-FOOTBALL-STAR-07NAS,,1250.00,,2
stars-football-figure-ronaldo-and-mbappe,STARS Football Figure with Trophy and Ball – Ronaldo or Mbappé,Ronaldo – Man United,TGS-FIG-FOOTBALL-STAR-07MUN,,1250.00,,2
stars-football-figure-ronaldo-and-mbappe,STARS Football Figure with Trophy and Ball – Ronaldo or Mbappé,Mbappé – Real Madrid,TGS-FIG-FOOTBALL-STAR-10RMA,,1250.00,,2
steering-wheel-simulated-driving-toy,Steering Wheel Simulated Driving Toy with Car Sounds,Default Title,TGS-STEERING-WHEEL-SIM,,1850.00,,7
stem-chemistry-experiment-set,STEM Chemistry Experiment Set with 14 Experiments,Default Title,TGS-STEM-CHEM-EXPERMNT,,3250.00,,1
sticky-ball-dart-board-72cm,Sticky Ball Dart Board – 72cm Fabric Target with Sticky Balls,Default Title,TGS-STICKY-DART-BOARD,,2150.00,,4
stitch-rc-bumper-car,"Stitch RC Bumper Car with Collision Ejection, 2.4GHz",Default Title,TGS-STITCH-BUMPER-CAR,,9850.00,,3
study-book-intellectual-learning-toy,Study Book Intellectual Learning Toy for Ages 3+,Default Title,TGS-STUDY-BOOK,,2450.00,,7
sup-handheld-game-console,SUP Game Box Power M3 Handheld Game Console,Default Title,TGS-HAND-CONSOLE,,7850.00,,3
superhero-wrist-transmitter,Super Hero Wrist Transmitter Toy,Default Title,TGS-SUPERHERO-WRIST,,1150.00,,3
taboo-card-game-french,Taboo Card Game (French Edition),Default Title,TGS-TABOO,,3000.00,,3
tambola-housie-deluxe,"Tambola Housie Deluxe Edition, 300 Tickets",Default Title,TGS-TAMBOLA-HOUSIE,,2850.00,,3
teacher-laptop-educational-toy,Teacher Laptop – Quran Learning Toy Laptop,Default Title,TGS-TEACHER-LAPTOP,,3250.00,,3
thomas-and-friends-building-blocks-toy-set,Thomas & Friends Orbit Building Blocks – 43 Pieces in a Backpack,Default Title,TGS-THOMAS-FRIENDS-BUILDING,,4250.00,,2
tiger-bubble-machine,Tiger Bubble Machine with 10-Hole Bubble Blower,Default Title,TGS-TIGER-BUBBLE,,1950.00,,1
toy-electric-kettle,Toy Electric Kettle with Lights and Sounds,Orange,TGS-ELEC-KETTLE-ORANGE,,2200.00,,
toy-electric-kettle,Toy Electric Kettle with Lights and Sounds,Blue,TGS-ELEC-KETTLE-BLUE,,2200.00,,
toy-story-friction-car-woody,Disney Pixar Toy Story Friction Car – Woody's Truck,Default Title,TGS-TOY-STORY-FRICTION,,1850.00,,3
train-stacking-domino-toy,Train Stacking Domino Toy with 60 Pieces,Default Title,TGS-TRAIN-STACKING,,2850.00,,3
transparent-gear-vehicle-excavator-set,Transparent Gear Vehicle Excavator & Bulldozer Set,Default Title,TGS-GEAR-VEHICLE-CLEAR,,2500.00,,1
unicorn-makeup-case,Unicorn Makeup Case with 16-Piece Toy Makeup Set,Default Title,TGS-UNICORN-MAKEUP-CASE,,3250.00,,2
unicorn-night-light,Unicorn Night Light with Charging Cable,Default Title,TGS-UNICORN-NIGHTLIGHT,,2650.00,,5
unicorn-princess-makeup-case-2in1,Unicorn Princess 2-in-1 Beauty Make Up Case,Default Title,TGS-UNICORN-PRINCESS-MAKEUP,,3250.00,,3
uno-attack-card-shooter-game,UNO Attack! Electronic Card Shooter Game,Default Title,TGS-UNO-ATTACK,,5550.00,,3
uno-classic-card-game,UNO Classic Card Game,Default Title,TGS-UNO-CLASSIC,,1100.00,,1
uno-show-em-no-mercy,UNO Show 'Em No Mercy Card Game,Default Title,TGS-UNO-NO-MERCY,,890.00,,1
uno-travel-case-2-deck,UNO 2-Deck Travel Case Card Game,Default Title,TGS-UNO-TRAVEL-CASE,,1500.00,,2
vending-machine-toy,Vending Machine Toy with Sound Effects and Drink Dispenser,Default Title,TGS-VENDING,,5800.00,,2
water-canvas-magic-drawing-mat,Magical Water Canvas Reusable Doodle Mat with Pen,Default Title,TGS-WATER-CANVAS,,2750.00,,1
whoosh-classic-legends-drift-car,1:43 Scale Classic Legends RC Drift Car with Remote Control,Default Title,TGS-DRIFT-LEGENDS-RC,,11400.00,,2
wooden-busy-board,Wooden Busy Board with Blue Strap for Babies 36m+,Default Title,TGS-WD-BUSY-BOARD,,2250.00,,1
wooden-clock-learning-toy,Wooden Clock Learning Toy with Removable Hands and Number Discs,Default Title,TGS-WD-CLOCK-LEARNING,,1850.00,,1
wooden-marble-balance-tower-game,Game of Marbles – Wooden Balance Tower,Default Title,TGS-WD-MARBLE-BALANCE,,1450.00,,2
