processed_at,sku,provider,status,fal_images_new,fal_images_reused,est_cost_usd,output_dir,error
2026-09-15T17:52:27,TGS-BUSYBOARD-DINOSAUR-TEAL,fal:gpt-image-2.5-sunburst-medium,ok,4,0,0.206,input/TGS-BUSYBOARD-DINOSAUR-TEAL/output,
2026-09-15T17:55:16,TGS-CAR-SEDAN-BLACK-BMW,fal:gpt-image-2.5-sunburst-medium,ok,5,0,0.258,input/TGS-CAR-SEDAN-BLACK-BMW/output,
2026-09-15T17:57:55,TGS-ANIMALTOY-CUTECOW-DANCING,fal:gpt-image-2.5-sunburst-medium,interrupted,2,0,0.103,input/TGS-ANIMALTOY-CUTECOW-DANCING/output,stopped: folder mixes two products (gear tractor + Cute Cow box); a 3rd image may have been billed
2026-09-16T18:37:58,TGS-GT-R-DIECAST,fal:gpt-image-2.5-sunburst-medium,ok,5,0,0.258,gallery_out/TGS-GT-R-DIECAST,
2026-09-16T18:42:08,TGS-GT-R-DIECAST,fal:gpt-image-2.5-sunburst-medium,ok,1,4,0.051,gallery_out/TGS-GT-R-DIECAST,
2026-09-17T20:44:47,TGS-AL-QURAN-LEARNING,fal:gpt-image-2.5-sunburst-medium,billed-not-saved,2,,0.103,input/TGS-AL-QURAN-LEARNING/output,"2 images (CatalogClean on the first run, CatalogHero on the second) finished on fal but the runs were stopped before download; see the fal dashboard"
2026-09-17T20:44:47,TGS-RC-SPIDER-WALL,fal:gpt-image-2.5-sunburst-medium,ok,2,,0.103,input/TGS-RC-SPIDER-WALL/output,approved single-image tests: studio CatalogHero + Lifestyle (not logged at the time)
2026-09-21T04:37:11,DANCING-CACTUS-TOY-WITH-HAT-AND-SCARF,fal:gpt-image-2.5-sunburst-medium,test-ok,1,0,0.0515,hero_test/A.jpg,"prompt A/B test: A = ChatGPT prompt as written"
2026-09-21T04:37:40,DANCING-CACTUS-TOY-WITH-HAT-AND-SCARF,fal:gpt-image-2.5-sunburst-medium,test-ok,1,0,0.0515,hero_test/B.jpg,"prompt A/B test: B = our prompt + ChatGPT's packaging line (winner)"
2026-09-21T04:58:22,DANCING-CACTUS-TOY-WITH-HAT-AND-SCARF,fal:qwen-image-edit-2511,test-ok,1,0,0.0300,hero_test/qwen-image-edit-2511.jpg,"model comparison on prompt B, same 3 references"
2026-09-21T04:59:00,DANCING-CACTUS-TOY-WITH-HAT-AND-SCARF,fal:muse-image,test-ok,1,0,0.0100,hero_test/muse-image.jpg,"model comparison on prompt B, same 3 references"
2026-09-22T21:45:51,TGS-3D-PRINTING-PEN,fal:gpt-image-2.5-sunburst-medium,test-ok,1,0,0.0515,hero_test/3d-pen-v2.jpg,"CatalogHero v2 prompt test — product/packaging/branding separation, tuosiqi logo check"
2026-09-22T21:58:48,TGS-3D-PRINTING-PEN,fal:gpt-image-2.5-sunburst-medium,test-ok,1,0,0.0515,hero_test/3d-pen-v2b.jpg,"CatalogHero v2 prompt test (revised, photography-only, no AI text) — check vs. hero_test/3d-pen-v2.jpg"
2026-09-23T10:12:39,TGS-DIECAST-MOUNTAIN-BIKE,fal:gpt-image-2.5-sunburst-medium,ok,2,0,0.1030,input/1-8-SCALE-DIE-CAST-MOUNTAIN-BIKE-MODEL/output,
2026-09-23T10:15:42,TGS-ABERO-STEER-WHEEL,fal:gpt-image-2.5-sunburst-medium,ok,2,0,0.1030,input/ABERO-ENLIGHTENING-STEERING-WHEEL/output,
2026-09-23T10:17:59,TGS-FOUR-AXIS-DRONE,fal:gpt-image-2.5-sunburst-medium,ok,2,0,0.1030,input/AEROBAT-FOUR-AXIS-MINI-DRONE/output,
2026-09-23T10:20:28,TGS-AIKE-LED-WATCH,fal:gpt-image-2.5-sunburst-medium,ok,2,0,0.1030,input/AIKE-LED-DIGITAL-WATCH-BLACK/output,
2026-09-23T10:21:06,TGS-NOTEBOOK-PC,fal:gpt-image-2.5-sunburst-medium,failed,1,0,0.0515,input/ANGELO-NOTEBOOK-PC-EDUCATIONAL-TOY-WITH-MOUSE/output,RuntimeError: CatalogHero.png: download failed ([Errno 54] Connection reset by peer); billed result at https://v3b.fal.media/files/b/0aab89c4/nUS2RH6Bxsjr21fa_21ay_5c5UgTFV.png
2026-09-23T10:21:38,TGS-AVENGERS-MAG-DRAWING,fal:gpt-image-2.5-sunburst-medium,failed,0,0,,input/AVENGERS-AGE-OF-ULTRON-MAGNETIC-DRAWING-BOARD/output,"FalClientHTTPError: [{'loc': ['body', 'prompt'], 'msg': 'The content could not be processed because it contained material flagged by a content checker.', 'type': 'content_policy_violation', 'url': 'https://docs.fal.ai/errors#content_policy_violation', 'input': {'prompt': 'CATALOG HERO — PRIMARY SHOPIFY PRODUCT IMAGE\n\nCreate ONE premium, highly presentable e-commerce hero image for this product using ALL attached reference photos.\n\nThe reference photos are the SOURCE OF TRUTH for the real physical product and everything physically included with it.\n\nThe goal is:\n\nPRESERVE THE REAL PRODUCT.\nIMPROVE THE PRESENTATION.\n\n--------------------------------------------------\n1. PRODUCT FIDELITY\n--------------------------------------------------\n\nPreserve the actual physical product shown in the reference images.\n\nKeep accurate:\n- shape\n- proportions\n- colors\n- color placement\n- materials\n- surface finish\n- physical details\n- buttons\n- switches\n- wheels\n- handles\n- joints\n- seams\n- printed markings\n- stickers\n- decals\n- logos\n- included pieces\n- packaging\n- wrappers\n- trays\n- accessories\n- quantity/configuration\n\nDo not redesign the product.\n\nDo not make the product look more advanced, expensive, futuristic, detailed, colorful, metallic, oversized, or premium than the real item.\n\nDo not add physical features or components that are not supported by the reference photos or verified product information.\n\n--------------------------------------------------\n2. PRODUCTS INSIDE BOXES / WRAPPERS / PACKAGING\n--------------------------------------------------\n\nSome reference photos may show the product:\n- inside a cardboard box\n- inside a transparent plastic tray\n- inside a blister pack\n- inside a plastic bag\n- wrapped in film\n- partially covered by packaging\n- surrounded by accessories inside the package\n\nWhen the actual physical product is visibly identifiable, you MAY present that same real product outside or partially outside the packaging for a better hero composition.\n\nFor example:\n- remove a visible toy from a transparent tray\n- arrange visible accessories neatly beside the main product\n- place the visible toy beside its box\n- show the actual contents as a professional product presentation\n\nHowever:\n\nDO NOT invent hidden parts.\n\nDO NOT reconstruct unseen components from imagination.\n\nDO NOT assume that an item shown only in package artwork is physically included unless the references or verified product information establish this.\n\nIf the real product is visible through packaging, preserve its actual appearance.\n\nIf only the packaging artwork shows a product but the physical product cannot be seen, treat the artwork as packaging artwork, NOT as photographic evidence of the physical product.\n\n--------------------------------------------------\n3. PACKAGING\n--------------------------------------------------\n\nPackaging may be shown prominently when it helps communicate what is being sold.\n\nPreserve the real packaging design, colors, graphics, age markings, logos and printed information.\n\nDo not redesign the packaging.\n\nDo not move packaging logos into other parts of the composition.\n\nA logo or brand name printed on the real packaging must stay naturally associated with that packaging.\n\nNEVER place a packaging logo:\n- in the top-left corner\n- in the top-right corner\n- as a floating logo\n- as a watermark\n- as a separate header\n- as a decorative badge\n\nunless explicitly requested.\n\nDo not invent a store logo or add ""The Toy Gift Shop"" branding unless explicitly requested.\n\n--------------------------------------------------\n4. CREATIVE PRESENTATION\n--------------------------------------------------\n\nAI HAS CREATIVE FREEDOM TO IMPROVE THE PRESENTATION.\n\nYou may creatively improve:\n- product positioning\n- camera angle\n- perspective\n- composition\n- background\n- environment\n- lighting\n- shadows\n- reflections\n- depth of field\n- scale within the frame\n- arrangement of visible accessories\n- visual hierarchy\n- close-up detail panels\n\nChoose a visual setting that naturally suits the specific toy.\n\nDo not force every product into the same background or layout.\n\n--------------------------------------------------\n5. THIS IS A PHOTOGRAPH, NOT A GRAPHIC DESIGN\n--------------------------------------------------\n\nThis image is photography only.\n\nDo not add a headline, product-name text, feature callouts, slogans, icons, badges, or any other typography or graphic text element to the image.\n\nDo not compose a mini-infographic, feature card, or marketing layout.\n\nThe product name, feature callouts and other marketing text are added separately afterwards by the store\'s own template, from verified product data. This image must not pre-empt or duplicate that.\n\nThe only text that may appear anywhere in the image is text that is physically printed on the real product or its real packaging, reproduced exactly as it is photographed -- never redrawn, resized, recolored, or moved.\n\nIf a close-up detail inset is used, it must show a real, photographed detail of the product -- not an added caption or label.\n\n--------------------------------------------------\n6. TEXT AND BRANDING\n--------------------------------------------------\n\nDo not automatically add branding.\n\nDo not treat a manufacturer\'s logo as the store\'s branding.\n\nDo not create a floating company logo from packaging artwork.\n\nDo not invent slogans or marketing claims.\n\nDo not add any text of your own anywhere in the image.\n\n--------------------------------------------------\n7. VISUAL STYLE\n--------------------------------------------------\n\nThe result should look like a premium commercial product image used by a professional toy e-commerce store.\n\nIt should be:\n- attractive\n- polished\n- modern\n- clean\n- engaging\n- easy to understand\n- suitable for Shopify\n- credible as a representation of the real product\n\nThe main physical product must remain the dominant visual subject.\n\n--------------------------------------------------\n8. MOST IMPORTANT RULE\n--------------------------------------------------\n\nCREATIVE FREEDOM APPLIES TO PRESENTATION,\nNOT TO THE PRODUCT.\n\nThink:\n\n""Professionally photograph and present this exact product and its actual visible contents.""\n\nNOT:\n\n""Design a new version of this product.""\n\nWhen uncertain:\n\nDO NOT INVENT.\nUse the reference photos as the truth.\n\n--------------------------------------------------\n9. OUTPUT\n--------------------------------------------------\n\nGenerate EXACTLY ONE final image.\n\nDo not create multiple variants.\nDo not create alternative concepts.\nDo not create a collage of different versions.\n\nThe final result should be one polished PRIMARY SHOPIFY PRODUCT IMAGE.\n\n--------------------------------------------------\n10. REFERENCE PRIORITY\n--------------------------------------------------\n\nWhen determining what the actual product looks like, use this priority:\n\n1. Clear photographs of the actual physical product\n2. Multiple photographs showing the same physical product\n3. Actual accessories/components visibly shown in photographs\n4. Packaging photographs\n5. Product artwork/illustrations printed on packaging\n\nNever use packaging artwork to override a clear photograph of the real product.', 'num_images': 1, 'output_format': 'png', 'quality': 'medium', 'background': 'auto', 'output_compression': None, 'image_size': {'width': 1024, 'height': 1024}, 'openai_api_key': None}}]"
2026-09-23T10:24:42,TGS-BABY-RATTLE-TURNTABLE,fal:gpt-image-2.5-sunburst-medium,failed,2,0,0.1030,input/BABY-RATTLE-TURNTABLE-SET/output,RuntimeError: Lifestyle.png: download failed ([Errno 54] Connection reset by peer); billed result at https://v3b.fal.media/files/b/0aab89da/vp2D6A76HIef5IjtaFhXl_jQrBWcZQ.png
2026-09-23T10:25:20,TGS-BBALL-BOARD,fal:gpt-image-2.5-sunburst-medium,failed,1,0,0.0515,input/BASKETBALL-BOARD-GAME-CHAMPIONSHIP-TROPHY/output,RuntimeError: CatalogHero.png: download failed ([Errno 54] Connection reset by peer); billed result at https://v3b.fal.media/files/b/0aab89de/lJ_saUIiAYVuLCfpOm4-w_mqpGdqAq.png
2026-09-23T10:29:18,TGS-BEAD-BOX-TEAL,fal:gpt-image-2.5-sunburst-medium,ok,2,0,0.1030,input/BEAD-BOX-JEWELLERY-KIT-TEAL/output,
2026-09-23T10:31:28,TGS-BLOCK-BUILDING,fal:gpt-image-2.5-sunburst-medium,ok,2,0,0.1030,input/BLOCK-BUILDING-TOYS-IN-CLEAR-STORAGE-JAR/output,
2026-09-23T10:32:22,TGS-BOOM-STRIKE-HAMMER,fal:gpt-image-2.5-sunburst-medium,failed,1,0,0.0515,input/BOOM-STRIKE-HAMMER-GAME/output,RuntimeError: CatalogHero.png: download failed ([Errno 54] Connection reset by peer); billed result at https://v3b.fal.media/files/b/0aab8a06/2nvo_K9PBkA_kUckbIYCP_D8IN9J2W.png
2026-09-23T10:35:01,TGS-BUSY-BOOK-MATCH,fal:gpt-image-2.5-sunburst-medium,ok,2,0,0.1030,input/BUSY-BOOK-MATCH-AND-LEARN-ACTIVITY-BOOK/output,
2026-09-23T10:36:53,TGS-CAMEL-FIGURE,fal:gpt-image-2.5-sunburst-medium,ok,2,0,0.1030,input/CAMEL-ANIMAL-FIGURE/output,
2026-09-23T10:38:24,TGS-SQUISHY-CAPSULE-BALL,fal:gpt-image-2.5-sunburst-medium,ok,1,0,0.0515,input/CAPSULE-SQUISHY-BALL/output,
2026-09-23T10:38:58,TGS-CARS-RC-RADIO,fal:gpt-image-2.5-sunburst-medium,failed,0,0,,input/CARS-DINOCO-RC-RADIO-CONTROL-CAR/output,"FalClientHTTPError: [{'loc': ['body', 'prompt'], 'msg': 'The content could not be processed because it contained material flagged by a content checker.', 'type': 'content_policy_violation', 'url': 'https://docs.fal.ai/errors#content_policy_violation', 'input': {'prompt': 'CATALOG HERO — PRIMARY SHOPIFY PRODUCT IMAGE\n\nCreate ONE premium, highly presentable e-commerce hero image for this product using ALL attached reference photos.\n\nThe reference photos are the SOURCE OF TRUTH for the real physical product and everything physically included with it.\n\nThe goal is:\n\nPRESERVE THE REAL PRODUCT.\nIMPROVE THE PRESENTATION.\n\n--------------------------------------------------\n1. PRODUCT FIDELITY\n--------------------------------------------------\n\nPreserve the actual physical product shown in the reference images.\n\nKeep accurate:\n- shape\n- proportions\n- colors\n- color placement\n- materials\n- surface finish\n- physical details\n- buttons\n- switches\n- wheels\n- handles\n- joints\n- seams\n- printed markings\n- stickers\n- decals\n- logos\n- included pieces\n- packaging\n- wrappers\n- trays\n- accessories\n- quantity/configuration\n\nDo not redesign the product.\n\nDo not make the product look more advanced, expensive, futuristic, detailed, colorful, metallic, oversized, or premium than the real item.\n\nDo not add physical features or components that are not supported by the reference photos or verified product information.\n\n--------------------------------------------------\n2. PRODUCTS INSIDE BOXES / WRAPPERS / PACKAGING\n--------------------------------------------------\n\nSome reference photos may show the product:\n- inside a cardboard box\n- inside a transparent plastic tray\n- inside a blister pack\n- inside a plastic bag\n- wrapped in film\n- partially covered by packaging\n- surrounded by accessories inside the package\n\nWhen the actual physical product is visibly identifiable, you MAY present that same real product outside or partially outside the packaging for a better hero composition.\n\nFor example:\n- remove a visible toy from a transparent tray\n- arrange visible accessories neatly beside the main product\n- place the visible toy beside its box\n- show the actual contents as a professional product presentation\n\nHowever:\n\nDO NOT invent hidden parts.\n\nDO NOT reconstruct unseen components from imagination.\n\nDO NOT assume that an item shown only in package artwork is physically included unless the references or verified product information establish this.\n\nIf the real product is visible through packaging, preserve its actual appearance.\n\nIf only the packaging artwork shows a product but the physical product cannot be seen, treat the artwork as packaging artwork, NOT as photographic evidence of the physical product.\n\n--------------------------------------------------\n3. PACKAGING\n--------------------------------------------------\n\nPackaging may be shown prominently when it helps communicate what is being sold.\n\nPreserve the real packaging design, colors, graphics, age markings, logos and printed information.\n\nDo not redesign the packaging.\n\nDo not move packaging logos into other parts of the composition.\n\nA logo or brand name printed on the real packaging must stay naturally associated with that packaging.\n\nNEVER place a packaging logo:\n- in the top-left corner\n- in the top-right corner\n- as a floating logo\n- as a watermark\n- as a separate header\n- as a decorative badge\n\nunless explicitly requested.\n\nDo not invent a store logo or add ""The Toy Gift Shop"" branding unless explicitly requested.\n\n--------------------------------------------------\n4. CREATIVE PRESENTATION\n--------------------------------------------------\n\nAI HAS CREATIVE FREEDOM TO IMPROVE THE PRESENTATION.\n\nYou may creatively improve:\n- product positioning\n- camera angle\n- perspective\n- composition\n- background\n- environment\n- lighting\n- shadows\n- reflections\n- depth of field\n- scale within the frame\n- arrangement of visible accessories\n- visual hierarchy\n- close-up detail panels\n\nChoose a visual setting that naturally suits the specific toy.\n\nDo not force every product into the same background or layout.\n\n--------------------------------------------------\n5. THIS IS A PHOTOGRAPH, NOT A GRAPHIC DESIGN\n--------------------------------------------------\n\nThis image is photography only.\n\nDo not add a headline, product-name text, feature callouts, slogans, icons, badges, or any other typography or graphic text element to the image.\n\nDo not compose a mini-infographic, feature card, or marketing layout.\n\nThe product name, feature callouts and other marketing text are added separately afterwards by the store\'s own template, from verified product data. This image must not pre-empt or duplicate that.\n\nThe only text that may appear anywhere in the image is text that is physically printed on the real product or its real packaging, reproduced exactly as it is photographed -- never redrawn, resized, recolored, or moved.\n\nIf a close-up detail inset is used, it must show a real, photographed detail of the product -- not an added caption or label.\n\n--------------------------------------------------\n6. TEXT AND BRANDING\n--------------------------------------------------\n\nDo not automatically add branding.\n\nDo not treat a manufacturer\'s logo as the store\'s branding.\n\nDo not create a floating company logo from packaging artwork.\n\nDo not invent slogans or marketing claims.\n\nDo not add any text of your own anywhere in the image.\n\n--------------------------------------------------\n7. VISUAL STYLE\n--------------------------------------------------\n\nThe result should look like a premium commercial product image used by a professional toy e-commerce store.\n\nIt should be:\n- attractive\n- polished\n- modern\n- clean\n- engaging\n- easy to understand\n- suitable for Shopify\n- credible as a representation of the real product\n\nThe main physical product must remain the dominant visual subject.\n\n--------------------------------------------------\n8. MOST IMPORTANT RULE\n--------------------------------------------------\n\nCREATIVE FREEDOM APPLIES TO PRESENTATION,\nNOT TO THE PRODUCT.\n\nThink:\n\n""Professionally photograph and present this exact product and its actual visible contents.""\n\nNOT:\n\n""Design a new version of this product.""\n\nWhen uncertain:\n\nDO NOT INVENT.\nUse the reference photos as the truth.\n\n--------------------------------------------------\n9. OUTPUT\n--------------------------------------------------\n\nGenerate EXACTLY ONE final image.\n\nDo not create multiple variants.\nDo not create alternative concepts.\nDo not create a collage of different versions.\n\nThe final result should be one polished PRIMARY SHOPIFY PRODUCT IMAGE.\n\n--------------------------------------------------\n10. REFERENCE PRIORITY\n--------------------------------------------------\n\nWhen determining what the actual product looks like, use this priority:\n\n1. Clear photographs of the actual physical product\n2. Multiple photographs showing the same physical product\n3. Actual accessories/components visibly shown in photographs\n4. Packaging photographs\n5. Product artwork/illustrations printed on packaging\n\nNever use packaging artwork to override a clear photograph of the real product.', 'num_images': 1, 'output_format': 'png', 'quality': 'medium', 'background': 'auto', 'output_compression': None, 'image_size': {'width': 1024, 'height': 1024}, 'openai_api_key': None}}]"
2026-09-23T10:41:03,TGS-CARTOON-ANIMAL-XYLO,fal:gpt-image-2.5-sunburst-medium,ok,2,0,0.1030,input/CARTOON-ANIMAL-HAND-KNOCK-PIANO-SERIES-8-TONE/output,
2026-09-23T10:41:41,TGS-S-CAMERA,fal:gpt-image-2.5-sunburst-medium,failed,1,0,0.0515,input/CHILDRENS-CAMERA/output,RuntimeError: CatalogHero.png: download failed ([Errno 54] Connection reset by peer); billed result at https://v3b.fal.media/files/b/0aab8a40/iJAPe5dg02Py5ZaIls9mt_0XtdrArV.png
2026-09-23T10:42:33,TGS-S-DIGITAL-CAMERA,fal:gpt-image-2.5-sunburst-medium,failed,1,0,0.0515,input/CHILDRENS-DIGITAL-CAMERA/output,RuntimeError: CatalogHero.png: download failed ([Errno 54] Connection reset by peer); billed result at https://v3b.fal.media/files/b/0aab8a43/eaEXJdtlWcTLxanwYJBPT_nYBXvpzn.png
2026-09-23T10:49:46,TGS-NOTEBOOK-PC,recovery,ok,0,0,,input/ANGELO-NOTEBOOK-PC-EDUCATIONAL-TOY-WITH-MOUSE/output,"billed image from the earlier failed row was not actually lost -- v3b.fal.media CDN edge reset the connection, retried the same URL with curl and it saved fine"
2026-09-23T10:49:46,TGS-BABY-RATTLE-TURNTABLE,recovery,ok,0,0,,input/BABY-RATTLE-TURNTABLE-SET/output,"billed image from the earlier failed row was not actually lost -- v3b.fal.media CDN edge reset the connection, retried the same URL with curl and it saved fine"
2026-09-23T10:49:46,TGS-BBALL-BOARD,recovery,ok,0,0,,input/BASKETBALL-BOARD-GAME-CHAMPIONSHIP-TROPHY/output,"billed image from the earlier failed row was not actually lost -- v3b.fal.media CDN edge reset the connection, retried the same URL with curl and it saved fine"
2026-09-23T10:49:46,TGS-BOOM-STRIKE-HAMMER,recovery,ok,0,0,,input/BOOM-STRIKE-HAMMER-GAME/output,"billed image from the earlier failed row was not actually lost -- v3b.fal.media CDN edge reset the connection, retried the same URL with curl and it saved fine"
2026-09-23T10:49:46,TGS-S-CAMERA,recovery,ok,0,0,,input/CHILDRENS-CAMERA/output,"billed image from the earlier failed row was not actually lost -- v3b.fal.media CDN edge reset the connection, retried the same URL with curl and it saved fine"
2026-09-23T10:49:46,TGS-S-DIGITAL-CAMERA,recovery,ok,0,0,,input/CHILDRENS-DIGITAL-CAMERA/output,"billed image from the earlier failed row was not actually lost -- v3b.fal.media CDN edge reset the connection, retried the same URL with curl and it saved fine"
2026-09-23T11:00:07,TGS-BBALL-BOARD,fal:gpt-image-2.5-sunburst-medium,ok,1,0,0.0515,input/BASKETBALL-BOARD-GAME-CHAMPIONSHIP-TROPHY/output,"Lifestyle image, generated once CatalogHero recovery finished the product"
2026-09-23T11:00:07,TGS-BOOM-STRIKE-HAMMER,fal:gpt-image-2.5-sunburst-medium,ok,1,0,0.0515,input/BOOM-STRIKE-HAMMER-GAME/output,"Lifestyle image, generated once CatalogHero recovery finished the product"
2026-09-23T11:00:07,TGS-S-CAMERA,fal:gpt-image-2.5-sunburst-medium,ok,1,0,0.0515,input/CHILDRENS-CAMERA/output,"Lifestyle image, generated once CatalogHero recovery finished the product"
2026-09-23T11:03:48,TGS-TEA-PARTY-PAINT,fal:gpt-image-2.5-sunburst-medium,ok,2,0,0.1030,input/COLORDAY-TEA-PARTY-ARTISTIC-PAINTING-SET/output,
2026-09-23T11:06:34,TGS-COLORFUL-MAG-BLOCKS,fal:gpt-image-2.5-sunburst-medium,ok,2,0,0.1030,input/COLORFUL-MAGNETIC-BLOCKS-FOREST-THEME-SET/output,
2026-09-23T11:08:05,TGS-SQUISHY-PASTEL-STICKS,fal:gpt-image-2.5-sunburst-medium,ok,1,0,0.0515,input/CRACKLE-FLUFF-CRISPY-CRUNCH-SQUISHY-STICKS/output,
2026-09-23T11:12:15,TGS-SQUISHY-CRISP-CHOCO,fal:gpt-image-2.5-sunburst-medium,ok,2,0,0.1030,input/CRISP-CHOCO-SQUISHY-CREAM-AND-CHOCOLATE/output,
2026-09-23T11:14:57,TGS-CUTE-DUCK-SLIDE,fal:gpt-image-2.5-sunburst-medium,ok,2,0,0.1030,input/CUTE-DUCK-SLIDE-ELECTRIC-TRACK-TOY/output,
2026-09-23T11:17:06,TGS-CUTE-INTELLIGE-ROBOT,fal:gpt-image-2.5-sunburst-medium,ok,2,0,0.1030,input/CUTE-INTELLIGENT-ROBOT-REMOTE-CONTROL/output,
2026-09-23T11:18:17,TGS-DANCING-CACTUS,fal:gpt-image-2.5-sunburst-medium,ok,1,0,0.0515,input/DANCING-CACTUS-TOY-WITH-HAT-AND-SCARF/output,
2026-09-23T11:20:39,TGS-DESERT-EAGLE-GUN,fal:gpt-image-2.5-sunburst-medium,ok,2,0,0.1030,input/DESERT-EAGLE-MODEL-GUN/output,
