folder,new_folder,sku,new_sku,brand,note,box_title
TGS-CUBE-SQUEEZE-FIDGET,CUBE-SQUEEZE-BALL-SUPER-SOLID-SQUISH-TOY,TGS-CUBE-SQUEEZE-FIDGET,,,,Cube Squeeze Ball - Super Solid Squish Toy
TGS-CUTE-COW-SINGING,CUTE-COW-SING-AND-DANCING-TOY,TGS-CUTE-COW-SINGING,,,,Cute Cow Sing and Dancing Toy
TGS-CUTE-DUCK-SLIDE,CUTE-DUCK-SLIDE-ELECTRIC-TRACK-TOY,TGS-CUTE-DUCK-SLIDE,,,,Cute Duck Slide Electric Track Toy with Multiple Ducks
TGS-CUTE-DUCK-WATER,CUTE-DUCK-WATER-WHEEL-BATH-TOY,TGS-CUTE-DUCK-WATER,,,,Cute Duck Water Wheel Bath Toy with Scooter and Bucket
TGS-CUTE-INTELLIGE-ROBOT,CUTE-INTELLIGENT-ROBOT-REMOTE-CONTROL,TGS-CUTE-INTELLIGE-ROBOT,,,was cut off,Cute Intelligent Robot Toy with Remote Control and Follow Mode
TGS-DANCING-ELEC,SONIC-DANCING-ELECTRIC-TOY,TGS-DANCING-ELEC,,,,Sonic Dancing Electric Toy with Lights and Music
TGS-DEFORM-ROBOT-CAR,TWO-IN-ONE-DEFORM-ROBOT-CAR,TGS-DEFORM-ROBOT-CAR,,,,Two in One Deform Robot Car with Lightning McQueen Design
TGS-DELUXE-ART-PAINT,KUROMI-15TH-ANNIVERSARY-ART-PAINTING-SET,TGS-DELUXE-ART-PAINT,,,was cut off,Kuromi 15th Anniversary Deluxe Art Painting Set Case
TGS-DELUXE-HAIR-STYLING,DELUXE-HAIR-STYLING-SET,TGS-DELUXE-HAIR-STYLING,,,,Deluxe Hair Styling Set for Girls
TGS-DESERT-EAGLE-GUN,DESERT-EAGLE-MODEL-GUN,TGS-DESERT-EAGLE-GUN,,,,Desert Eagle Model Gun for Science and Education
TGS-DIECAST-MOUNTAIN-BIKE,1-8-SCALE-DIE-CAST-MOUNTAIN-BIKE-MODEL,TGS-DIECAST-MOUNTAIN-BIKE,,,,1:8 Scale Die-Cast Mountain Bike Model
TGS-DINO-BUSY-BOARD,DINOSAUR-BUSY-BOARD,TGS-DINO-BUSY-BOARD,,,,Dinosaur Busy Board with 20+ Activities for Toddlers
TGS-DINO-RUNNING-DINO,DINO-RUNNING-DINOSAUR-WORLD-ELECTRIC-SERIES,TGS-DINO-RUNNING-DINO,,,,Dino Running Dinosaur World Electric Series Toy
TGS-DISHWASHE,KIDS-KITCHEN-TOY-DISHWASHER,TGS-DISHWASHE,,,,Kids Kitchen Toy Dishwasher with Sound and Lights
TGS-DIY-MAG-LEVITATIO,DIY-MAGNETIC-LEVITATION-TRAIN-TRACK,TGS-DIY-MAG-LEVITATIO,,,,DIY Magnetic Levitation Train Track with 55 Pieces for Ages 3+
TGS-DRAWING-ROBOT-JQR,DRAWING-ROBOT-JQR-02,TGS-DRAWING-ROBOT-JQR,,,,Drawing Robot JQR-02 for Children's Painting Enlightenment Teaching
TGS-DREAM-UNICORN-BUBBLE,DREAM-UNICORN-BUBBLE-CAMERA-TOY,TGS-DREAM-UNICORN-BUBBLE,,,,Dream Unicorn Bubble Camera Toy
TGS-E99-PRO-MAX,E99-PRO-MAX-REMOTE-CONTROL-DRONE,TGS-E99-PRO-MAX,,,was cut off,E99 Pro Max Remote Control Drone with Controller
TGS-EDU-KEYS,EDUCATIONAL-KEYBOARD-TABLET,TGS-EDU-KEYS,,,"it is a tablet with piano keys, not a keyboard",Educational Keyboard Toy with LED Screen and Alphabet Keys
TGS-EDU-LAPTOP,EDUCATIVO-TWO-IN-ONE-LEARNING-LAPTOP,TGS-EDU-LAPTOP,,,box brand is Educativo,Two in One Educational Laptop with Mouse for Ages 3+
TGS-ELEC-CARTOON-DINO,ELECTRIC-CARTOON-DINOSAUR-TOY,TGS-ELEC-CARTOON-DINO,,,,Electric Cartoon Dinosaur Toy with Sound and Movement
TGS-ELEC-KETTLE,TOY-ELECTRIC-KETTLE,TGS-ELEC-KETTLE,,,,Toy Electric Kettle with Lights and Sounds
TGS-ELEPHANT-FIGURE,3-IN-1-WALKING-ELEPHANT-TOY,TGS-ELEPHANT-FIGURE,,,,3-in-1 Walking Elephant Toy with Sound and Light
TGS-FAN-VISOR-HAT,GIVELONG-CUTE-FAN-VISOR-HAT,TGS-FAN-VISOR-HAT,,Givelong,,Givelong Cute Fan Visor Hat with Lion Design
TGS-FIG-FOOTBALL-STAR,FOOTBALL-STAR-ACTION-FIGURE-TROPHY-AND-BALL,TGS-FIG-FOOTBALL-STAR,,,was cut off,Football Star Action Figure with Trophy and Ball
TGS-FIG-NARUTO,NARUTO-SHIPPUDEN-NARUTO-UZUMAKI-ACTION-FIGURE,TGS-FIG-NARUTO,,,,Naruto Shippuden Naruto Uzumaki Action Figure
TGS-FIGHTERS-FIGURE,KING-OF-FIGHTERS-KYO-KUSANAGI-FIGURE,TGS-FIGHTERS-FIGURE,,,was cut off,The King of Fighters Kyo Kusanagi Action Figure
TGS-FOLLOW-ME-CAR,FOLLOW-ME-GESTURE-CAR-GREEN-AND-PINK,TGS-FOLLOW-ME-CAR,,,was cut off,Follow Me Gesture Car - Green & Pink Remote Control Toy
TGS-FOUR-AXIS-DRONE,AEROBAT-FOUR-AXIS-MINI-DRONE,TGS-FOUR-AXIS-DRONE,,,trimmed,Aerobat Four Axis Mini Drone with Remote Control
TGS-FOUR-INSECT-CATCHING,FOUR-IN-ONE-INSECT-CATCHING-GAME,TGS-FOUR-INSECT-CATCHING,,,,Four in One Insect Catching Game
TGS-FOUR-PLAYERS-DICE,FOUR-PLAYERS-DICE-BOARD-GAME,TGS-FOUR-PLAYERS-DICE,,,,Four Players Dice Board Game
TGS-GEAR-DINO,GEAR-DINOSAUR-TOY,TGS-GEAR-DINO,,,,Gear Dinosaur Toy with Musical and Light Effects
TGS-GEAR-VEHICLE-CLEAR,TRANSPARENT-GEAR-VEHICLE-EXCAVATOR-SET,TGS-GEAR-VEHICLE-CLEAR,,,was cut off,Transparent Gear Vehicle Excavator & Bulldozer Set
TGS-GLOW-LEARN-BILINGUAL,WINFUN-GLOW-AND-LEARN-BILINGUAL-PAD,TGS-GLOW-LEARN-BILINGUAL,,Winfun,,Winfun Glow & Learn Bilingual Pad with Keyboard and LCD Screen
TGS-GRASS-FROG,GRASS-FROG-LIGHT-SOUND-TOY,TGS-GRASS-FROG,,,,Grass Frog Light/Sound Toy with Mechanical Drive
TGS-GREEN-TRUCK,GREEN-TRUCK-REMOTE-CONTROL-TOY,TGS-GREEN-TRUCK,,,trimmed,Green Truck Toy with Remote Control and Sound
TGS-GT-DIECAST-CAR,MERCEDES-AMG-VISION-GT-DIECAST-MODEL-CAR,TGS-GT-DIECAST-CAR,,,,Mercedes AMG Vision GT Diecast Model Car
TGS-GT-R-DIECAST,NISSAN-GT-R-MOTUL-DIECAST-MODEL-CAR,TGS-GT-R-DIECAST,,,Motul livery is the distinguishing mark,Nissan GT-R Race Car Model
TGS-HAND-CONSOLE,SUP-HANDHELD-GAME-CONSOLE,TGS-HAND-CONSOLE,,SUP,,SUP Handheld Game Console with Red and Black Design
TGS-HAND-MIXER,MINI-KITCHEN-APPLIANCE-TOY-HAND-MIXER,TGS-HAND-MIXER,,,,Mini Kitchen Appliance Toy Hand Mixer with Bowl and Beater
TGS-HOUSEHOLD-SET-MINI,HOUSEHOLD-SET-MINI-APPLIANCE-TOY,TGS-HOUSEHOLD-SET-MINI,,,,Household Set Mini Appliance Toy with Vacuum Cleaner and Washing Machine
TGS-INFLATABL-BABY-POOL,INTEX-INFLATABLE-BABY-POOL,TGS-INFLATABL-BABY-POOL,,Intex,,INTEX Inflatable Baby Pool with Air Lock Pump for Ages 0-1
TGS-INFLATABL-POOL-FAMILY,INTEX-WET-SET-RECTANGULAR-FAMILY-POOL,TGS-INFLATABL-POOL-FAMILY,,Intex,was cut off,Intex Wet Set Collection Inflatable Rectangular Pool for Ages 1-3
TGS-INFLATABL-POOL-ROUND,INTEX-WET-SET-ROUND-KIDDIE-POOL,TGS-INFLATABL-POOL-ROUND,,Intex,was cut off,Intex Wet Set Collection Inflatable Round Kiddie Pool with 1.47m x 33cm Dimensions
TGS-INFLATABL-SOFA-LOUNGER,INFLATABLE-LOUNGER-SOFA-SINGLE-SIZE,TGS-INFLATABL-SOFA-LOUNGER,,,,Inflatable Lounger Sofa - Single Size
TGS-INFLATABL-SOFA-ROUND,INFLATABLE-ROUND-SOFA-CHAIR-SINGLE-SIZE,TGS-INFLATABL-SOFA-ROUND,,,,Inflatable Round Sofa Chair - Single Size
TGS-INSUL-COFFEE-TUMBLER,INSULATED-COFFEE-TUMBLER-WITH-STRAP,TGS-INSUL-COFFEE-TUMBLER,,,,Insulated Coffee Tumbler with Strap
TGS-INSUL-TUMBLER-GRADIENT,INSULATED-TRAVEL-TUMBLER-GRADIENT-HANDLE,TGS-INSUL-TUMBLER-GRADIENT,,,told apart from the other handled tumbler,Insulated Travel Tumbler with Handle
TGS-INSUL-TUMBLER-HANDLE,INSULATED-TUMBLER-HEART-PATTERN-STRAW-LID,TGS-INSUL-TUMBLER-HANDLE,,,told apart from the gradient tumbler,Insulated Tumbler with Handle and Straw Lid
TGS-INTELLIGE-LEARNING,INTELLIGENCE-LEARNING-GAME-EDUCATIONAL-TOY,TGS-INTELLIGE-LEARNING,,,,Intelligence Learning Game Educational Toy for Children
TGS-IRON-APPLIANCE,PLAYROOM-TOY-IRON-APPLIANCE,TGS-IRON-APPLIANCE,,,,Playroom Toy Iron Appliance for Pretend Play
TGS-JELLYFISH-BUMP-GO,JELLYFISH-BUMP-AND-GO-DANCING-TOY,TGS-JELLYFISH-BUMP-GO,,,,Jellyfish Bump and Go Dancing Toy
TGS-JUDY-HOPPS,ZOOTOPIA-JUDY-HOPPS-TALKING-TOY,TGS-JUDY-HOPPS,,,,Zootopia Judy Hopps Talking Toy
TGS-JUMP-O-RAMA,BESTWAY-JUMP-O-RAMA-BOUNCER,TGS-JUMP-O-RAMA,,Bestway,,Bestway Jump-O-Rama Bouncer
TGS-KUROMI-MOON-LAMP,KUROMI-MOON-LIGHT-LAMP,TGS-KUROMI-MOON-LAMP,,,,Kuromi Moon Light Lamp
TGS-KUROMI-NIGHT-LIGHT,KUROMI-CHARACTER-NIGHT-LIGHT,TGS-KUROMI-NIGHT-LIGHT,,,,Kuromi Character Night Light with USB Cable
TGS-LAUGH-N-LEAP,BESTWAY-LAUGH-N-LEAP-BOUNCER-INFLATABLE-PLAY,TGS-LAUGH-N-LEAP,,Bestway,,Bestway Laugh 'N Leap Bouncer Inflatable Play Center
TGS-LBWK-DIECAST-CAR,LBWK-TOYOTA-SUPRA-DIECAST-MODEL-CAR,TGS-LBWK-DIECAST-CAR,,LBWK,,LBWK Toyota Supra Diecast Model Car
TGS-LEGO-TRAIN,SOFT-BUILDING-BLOCKS-TOY-SET,TGS-LEGO-TRAIN,TGS-SOFT-BLOCKS,,"the set is soft blocks in a bag, not LEGO — the SKU should not say LEGO",Soft Building Blocks Toy Set with Carry Bag
TGS-LIGHT-UP-SWORD,LIGHT-UP-SWORD,TGS-LIGHT-UP-SWORD,,,,Light Up Sword with Battle Sounds and Lights
TGS-LIGHTSABE,LIGHTSABER-TOY,TGS-LIGHTSABE,,,,Lightsaber Toy with Blade and Hilt
TGS-LITTLE-HELPER-CLEANING,LITTLE-HELPER-SIMULATED-CLEANING-KIT,TGS-LITTLE-HELPER-CLEANING,,,,Little Helper Simulated Cleaning Kit
TGS-M3-E30-DIECAST,BMW-M3-E30-DIECAST-MODEL-CAR,TGS-M3-E30-DIECAST,,,,BMW M3 E30 Diecast Model Car
TGS-MAG-BUILDING-BLOCKS,MAGNETIC-BUILDING-BLOCKS-MINECRAFT-THEME-SET,TGS-MAG-BUILDING-BLOCKS,,,,Magnetic Building Blocks Minecraft Theme Set
TGS-MAG-DIGITAL-TRAIN,MAGNETIC-DIGITAL-CAR-TRAIN-SET,TGS-MAG-DIGITAL-TRAIN,,,box says Magnetic Digital Car,Magnetic Digital Train Set with Numbered Cars
TGS-MAG-WORLD,MAGNETIC-WORLD-CUTE-PET-BUILDING-SET,TGS-MAG-WORLD,,,was garbled,Magnetic World Scene Series X Captive Cute Pet Building Set
TGS-MAGIC-BUBBLE-BAT,MAGIC-BUBBLE-BAT-GAME,TGS-MAGIC-BUBBLE-BAT,,,,Magic Bubble Bat Game with Bubble Solution and Bubble Wand
TGS-MAGIC-WAND-CROWN,MAGIC-WAND-CROWN-TIARA,TGS-MAGIC-WAND-CROWN,,,,Magic Wand Crown Tiara with Light and Sound
TGS-MAKEUP-CASE,KUROMI-MAKEUP-CASE,TGS-MAKEUP-CASE,,,,Kuromi Makeup Case with 30+ Accessories
TGS-MAKEUP-SET-CASE,MAKEUP-SET-CASE-PRINCESS-BAG-AND-CHEST,TGS-MAKEUP-SET-CASE,,,covers both styles,Makeup Set Case for Kids - Colorful Princess Bag
TGS-ME-SLIDE,DESPICABLE-ME-2-MINION-SLIDE-TOY,TGS-ME-SLIDE,,,,Despicable Me 2 Minion Slide Toy with 3 Minion Figures
TGS-MONTSSRI-HANDLE-LIGHT,MONTESSORI-HANDLE-LIGHT-GAME,TGS-MONTSSRI-HANDLE-LIGHT,,,,Montessori Handle Light Game
TGS-MOTO-DIECAST,MAISTO-DUCATI-STREETFIGHTER-S-1-12-SCALE,TGS-MOTO-DIECAST,,Maisto,,Maisto Ducati Streetfighter S 1/12 Scale Diecast Motorcycle
TGS-MULTI-LEARN-SHELF,MULTIFUNCTION-LEARN-SHELF,TGS-MULTI-LEARN-SHELF,,,,Multifunction Learn Shelf with Abacus and Activity Panels
TGS-NOTEBOOK-PC,ANGELO-NOTEBOOK-PC-EDUCATIONAL-TOY-WITH-MOUSE,TGS-NOTEBOOK-PC,,Angelo,,Angelo Notebook PC Educational Toy with Mouse
TGS-OCEAN-LINER-WATER,OCEAN-LINER-WATER-GUN-TOY,TGS-OCEAN-LINER-WATER,,,,Ocean Liner Water Gun Toy with Sound and Lighting
TGS-ORANGE-MONSTER-TRUCK,ORANGE-DIE-CAST-METAL-OFF-ROAD-MONSTER-TRUCK,TGS-ORANGE-MONSTER-TRUCK,,,,Orange Die-Cast Metal Off-Road Monster Truck Toy
TGS-PAGANI-DIECAST-CAR,PAGANI-HUAYRA-DIECAST-MODEL-CAR,TGS-PAGANI-DIECAST-CAR,,,,Pagani Huayra Diecast Model Car
TGS-PAW-PATROL-GO,PAW-PATROL-GO-FISHING-GAME,TGS-PAW-PATROL-GO,,,,Paw Patrol Go Fishing Game
TGS-PIANO-HEDGEHOG,HEDGEHOG-PIANO-BABY-TOY,TGS-PIANO-HEDGEHOG,,,,Hedgehog Piano Baby Toy with Keys and Buttons
TGS-PINBALL,PINBALL-GAME-MACHINE,TGS-PINBALL,,,,Pinball Game Machine with Marbles and Digital Score Display
TGS-POP-FIGURES,KUROMI-POP-FIGURES-SET-OF-4,TGS-POP-FIGURES,,,trimmed,Kuromi Pop! Figures - Set of 4 Collectible Vinyl Figures
TGS-POWER-PUNCH-ARCADE,POWER-PUNCH-ARCADE-GAME,TGS-POWER-PUNCH-ARCADE,,,,Power Punch Arcade Game with Punch Meter and Digital Display
TGS-PUZZLE-BUSY-BOARD,PUZZLE-BUSY-BOARD-HOUSE-EDUCATIONAL-TOY,TGS-PUZZLE-BUSY-BOARD,,,,Puzzle Busy Board House Educational Toy for Toddlers
TGS-RACING-CAR,MINI-RACING-CAR-REMOTE-CONTROL-VEHICLE,TGS-RACING-CAR,,,was cut off,Mini Racing Car Remote Control Vehicle with Controller
TGS-RAINBOW-TOWER-UNICORN,RAINBOW-TOWER-UNICORN-STACKER-TOY,TGS-RAINBOW-TOWER-UNICORN,,,,Rainbow Tower Unicorn Stacker Toy
TGS-RANGE-DIECAST-CAR,RANGE-ROVER-DIECAST-MODEL-CAR,TGS-RANGE-DIECAST-CAR,,,,Range Rover Diecast Model Car
TGS-RC-CONTROL-TRAIN,CLASSIC-EXPRESS-REMOTE-CONTROL-TRAIN-SET,TGS-RC-CONTROL-TRAIN,,,,Classic Express Remote Control Train Set with Smoke System and Circular Track
TGS-RC-DRIFT-RACING,RC-DRIFT-RACING-CAR,TGS-RC-DRIFT-RACING,,,,RC Drift Racing Car with 4WD and Neon LED Lights
TGS-RC-FORKLIFT,MINI-RC-FORKLIFT-1-64-SCALE,TGS-RC-FORKLIFT,,,trimmed,Mini Rc Forklift 1:64 Scale Remote Control Toy with Phone App Control
TGS-RC-MASERATI-MC20,RC-MASERATI-MC20-REMOTE-CONTROL-CAR,TGS-RC-MASERATI-MC20,,,,RC Maserati MC20 Remote Control Car with Realistic Details
TGS-RC-SPIDER-WALL,SPIDER-WALL-RALLYIST-REMOTE-CONTROL-TOY,TGS-RC-SPIDER-WALL,,,,Spider Wall Rallyist Remote Control Toy with Infrared Control
TGS-REASSEMBL-SCREW-CAR,REASSEMBLY-SCREW-CAR-WOODEN-TOY,TGS-REASSEMBL-SCREW-CAR,,,,Reassembly Screw Car Wooden Toy
TGS-RETRO-ARCADE-DUEL,RETRO-ARCADE-DUEL-MINI-GAME,TGS-RETRO-ARCADE-DUEL,,,,Retro Arcade Duel Mini Game with 23+ Games
TGS-RHINOCERO-BABY,RHINOCEROS-BABY-UNICORN-TOY,TGS-RHINOCERO-BABY,,,,Rhinoceros Baby Unicorn Toy with Light
TGS-ROTATING-ORBIT-BALL,ROTATING-ORBIT-BALL-TRACK,TGS-ROTATING-ORBIT-BALL,,,,Rotating Orbit Ball Track with 20pcs Balls
TGS-S-CAMERA,CHILDRENS-CAMERA,TGS-S-CAMERA,,,,Children's Camera with Unicorn Design
TGS-S-CAR,DELUXE-CHILDRENS-CAR-RIDE-ON-TOY,TGS-S-CAR,,,,Deluxe Children's Car Ride-On Toy with Blue Wheels
TGS-S-DIGITAL-CAMERA,CHILDRENS-DIGITAL-CAMERA,TGS-S-DIGITAL-CAMERA,,,,Children's Digital Camera with Teal Case
TGS-S-DIGITAL-PRINT,CHILDRENS-DIGITAL-PRINT-CAMERA,TGS-S-DIGITAL-PRINT,,,,Children's Digital Print Camera with Instant Print Feature
TGS-SHINING-UNICORN-MAKEUP,SHINING-UNICORN-MAKEUP-CASE,TGS-SHINING-UNICORN-MAKEUP,,,,Shining Unicorn Makeup Case with 46 Kinds of Toys
TGS-SMART-RC-BABY,HUANGER-SMART-REMOTE-BABY-TOY,TGS-SMART-RC-BABY,,Huanger,,Huanger Smart Remote Baby Toy with Teething Keys
TGS-SMART-ROBOT,SMART-ROBOT-INTERACTIVE-REMOTE-CONTROL-TOY,TGS-SMART-ROBOT,,,was cut off,Smart Robot Interactive Toy with Remote Control
TGS-SPACE-JOURNEY-BUBBLE,SPACE-JOURNEY-BUBBLE-MACHINE,TGS-SPACE-JOURNEY-BUBBLE,,,,Space Journey Bubble Machine with Adjustable Speed
TGS-SPIDER-LAUNCHER,SPIDER-LAUNCHER-TOY,TGS-SPIDER-LAUNCHER,,,,Spider Launcher Toy with Glove and Launch Head
TGS-SQUISHY-BUN-STEAMER,GLITTER-SQUISHY-DUMPLING,TGS-SQUISHY-BUN-STEAMER,,,,Glitter Squishy Dumpling in a Steamer Case
TGS-SQUISHY-CRISP-CHOCO,CRISP-CHOCO-SQUISHY-CREAM-AND-CHOCOLATE,TGS-SQUISHY-CRISP-CHOCO,,,trimmed,Crisp Choco Squishy Toy - Cream & Chocolate
TGS-SQUISHY-OREO,NEEDOH-OREO-SQUISHY,TGS-SQUISHY-OREO,,NeeDoh,trimmed,"NeeDoh Oreo Squishy - Non-Edible, Switch & Swap Frosting"
TGS-STACKED-CIRCLE-RING,STACKED-CIRCLE-RING-STACKER-TOY,TGS-STACKED-CIRCLE-RING,,,,Stacked Circle Ring Stacker Toy with Animal Figures
TGS-STACKED-CUP-BATTLE,STACKED-CUP-BATTLE-GAME,TGS-STACKED-CUP-BATTLE,,,,Stacked Cup Battle Game with 12 Cups and 2 Bells
